# low-energy atmospheric neutrino fluxes
# from Battistoni et al., https://doi.org/10.1016/j.astropartphys.2005.03.006
# at Kamioka (Tables 2 and 3)
#
# E [GeV]  \nu_\mu    \bar\nu_\mu   \nu_e     \bar\nu_e
#                   [1 / GeV / cm^2 / sec]
  0.013   0.114E+06   0.116E+06   0.696E+05   0.637E+05 
  0.015   0.124E+06   0.128E+06   0.746E+05   0.697E+05
  0.017   0.138E+06   0.136E+06   0.797E+05   0.795E+05
  0.019   0.146E+06   0.150E+06   0.874E+05   0.842E+05
  0.021   0.155E+06   0.158E+06   0.942E+05   0.894E+05
  0.024   0.159E+06   0.162E+06   0.101E+06   0.950E+05
  0.027   0.164E+06   0.170E+06   0.103E+06   0.993E+05
  0.030   0.181E+06   0.196E+06   0.109E+06   0.103E+06
  0.033   0.174E+06   0.177E+06   0.108E+06   0.104E+06
  0.038   0.179E+06   0.182E+06   0.107E+06   0.101E+06
  0.042   0.178E+06   0.183E+06   0.101E+06   0.961E+05
  0.047   0.176E+06   0.181E+06   0.885E+05   0.835E+05
  0.053   0.153E+06   0.155E+06   0.696E+05   0.659E+05
  0.060   0.131E+06   0.132E+06   0.644E+05   0.600E+05
  0.067   0.123E+06   0.123E+06   0.593E+05   0.564E+05
  0.075   0.114E+06   0.112E+06   0.543E+05   0.514E+05
  0.084   0.107E+06   0.101E+06   0.497E+05   0.463E+05
  0.094   0.963E+05   0.921E+05   0.451E+05   0.430E+05
  0.106   0.842E+05   0.822E+05   0.406E+05   0.372E+05
  0.119   0.727E+05   0.725E+05   0.358E+05   0.329E+05
  0.133   0.635E+05   0.640E+05   0.317E+05   0.288E+05
  0.150   0.552E+05   0.556E+05   0.273E+05   0.249E+05
  0.168   0.477E+05   0.476E+05   0.239E+05   0.213E+05
  0.188   0.412E+05   0.408E+05   0.204E+05   0.183E+05
  0.211   0.344E+05   0.341E+05   0.170E+05   0.154E+05
  0.237   0.284E+05   0.286E+05   0.145E+05   0.129E+05
  0.266   0.236E+05   0.235E+05   0.120E+05   0.106E+05
  0.299   0.196E+05   0.193E+05   0.996E+04   0.880E+04
  0.335   0.158E+05   0.157E+05   0.811E+04   0.713E+04
  0.376   0.128E+05   0.126E+05   0.662E+04   0.575E+04
  0.422   0.103E+05   0.102E+05   0.527E+04   0.460E+04
  0.473   0.820E+04   0.815E+04   0.423E+04   0.368E+04
  0.531   0.649E+04   0.648E+04   0.337E+04   0.288E+04
  0.596   0.515E+04   0.502E+04   0.266E+04   0.228E+04
  0.668   0.398E+04   0.394E+04   0.209E+04   0.187E+04
  0.750   0.313E+04   0.303E+04   0.162E+04   0.137E+04
  0.841   0.241E+04   0.233E+04   0.124E+04   0.106E+04
  0.944   0.182E+04   0.179E+04   0.950E+03   0.800E+03


