# DSNB limit from KamLAND
# taken from https://arxiv.org/abs/2109.11174, fig. 25
#
#    E [MeV]         flux [cm^-2 sec^-1 MeV^-1]
      8.8              100
      9.8              9.77554197965787
     10.8              24.160092435753473
     11.8              11.311524142210992
     12.8              20.08245957432889
     13.8              8.530724477675443
     14.8              7.444422034649967
     15.8              13.0888475223243
     16.8              11.42211369718461
     17.8              10.26284112071819




