# DSNB limit from SuperKamiokande-I/II/III
# taken from https://arxiv.org/abs/2109.11174, fig. 25
#
#    E [MeV]         flux [cm^-2 sec^-1 MeV^-1]
     17.75              1.2426997105584607
     19.25              0.7943282347242822
     20.75              0.5541941942998194
     22.25              0.4019993511535481
     23.75              0.30317273444150583
     25.25              0.33415169002004685
     26.75              0.36119894976510164
     28.25              0.1
     29.75              0.21991432567587954


