6    241    179          Itext Imax Icore 

      Mag field EoS B32 (2104.05950) with crust from APR 

   Rho           Press        nbar          Ye          Ymu          Yn            Yp         Yla           Ysm         Ys0          Ysp          mstp          mstn        mstla        mstsm        msts0        mstsp 
  g/cm3        dyne/cm2      #/fm3       [A_cell]     [A_ion]        [Z] 

2.411554E+15 1.169000E+36 1.056400E+00 4.718778E-02 1.073921E-02 1.992952E-01 2.326439E-01 2.459304E-01 1.747169E-01 8.948659E-02 0.000000E+00 1.082636E-01 1.082636E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.374803E+15 1.146217E+36 1.041803E+00 4.937722E-02 9.470187E-03 1.967166E-01 2.330043E-01 2.479276E-01 1.741569E-01 8.934714E-02 0.000000E+00 1.097509E-01 1.097509E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.338627E+15 1.123772E+36 1.027407E+00 5.134284E-02 9.947812E-03 1.935263E-01 2.353254E-01 2.484915E-01 1.740347E-01 8.733143E-02 0.000000E+00 1.112577E-01 1.112577E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.303016E+15 1.101655E+36 1.013211E+00 5.306861E-02 1.116435E-02 1.912957E-01 2.384206E-01 2.485949E-01 1.741876E-01 8.326817E-02 0.000000E+00 1.127844E-01 1.127844E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.267961E+15 1.079866E+36 9.992104E-01 5.459906E-02 1.252170E-02 1.905320E-01 2.415642E-01 2.487740E-01 1.744435E-01 7.756552E-02 0.000000E+00 1.143311E-01 1.143311E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.233452E+15 1.058399E+36 9.854035E-01 5.599657E-02 1.371617E-02 1.910646E-01 2.443629E-01 2.492782E-01 1.746502E-01 7.093128E-02 0.000000E+00 1.158981E-01 1.158981E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.199480E+15 1.037250E+36 9.717874E-01 5.732297E-02 1.462259E-02 1.925061E-01 2.466356E-01 2.501658E-01 1.746900E-01 6.405694E-02 0.000000E+00 1.174857E-01 1.174857E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.166037E+15 1.016415E+36 9.583594E-01 5.862918E-02 1.522401E-02 1.945419E-01 2.483355E-01 2.513873E-01 1.744823E-01 5.739983E-02 0.000000E+00 1.190939E-01 1.190939E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.133113E+15 9.958889E+35 9.451169E-01 5.995141E-02 1.556172E-02 1.970404E-01 2.495037E-01 2.528374E-01 1.739906E-01 5.111468E-02 0.000000E+00 1.207232E-01 1.207232E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.100699E+15 9.756688E+35 9.320574E-01 6.131037E-02 1.570654E-02 2.000579E-01 2.502213E-01 2.543877E-01 1.732044E-01 4.511179E-02 0.000000E+00 1.223736E-01 1.223736E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.068789E+15 9.557504E+35 9.191784E-01 6.271206E-02 1.573678E-02 2.037136E-01 2.505920E-01 2.559034E-01 1.721432E-01 3.919896E-02 0.000000E+00 1.240454E-01 1.240454E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.037372E+15 9.361299E+35 9.064773E-01 6.415197E-02 1.572205E-02 2.080848E-01 2.507124E-01 2.572632E-01 1.708384E-01 3.322717E-02 0.000000E+00 1.257389E-01 1.257389E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.006441E+15 9.168037E+35 8.939518E-01 6.561841E-02 1.571858E-02 2.131043E-01 2.506719E-01 2.583666E-01 1.693349E-01 2.718524E-02 0.000000E+00 1.274543E-01 1.274543E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.975988E+15 8.959768E+35 8.815993E-01 6.709594E-02 1.576947E-02 2.185880E-01 2.505396E-01 2.591292E-01 1.676742E-01 2.120357E-02 0.000000E+00 1.291918E-01 1.291918E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.946005E+15 8.742113E+35 8.694175E-01 6.856571E-02 1.590106E-02 2.242993E-01 2.503642E-01 2.595005E-01 1.658974E-01 1.547192E-02 0.000000E+00 1.309517E-01 1.309517E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.916486E+15 8.557457E+35 8.574040E-01 7.001034E-02 1.612356E-02 2.301087E-01 2.501715E-01 2.594299E-01 1.640376E-01 1.011836E-02 0.000000E+00 1.327342E-01 1.327342E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.887421E+15 8.375596E+35 8.455566E-01 7.141323E-02 1.644210E-02 2.359915E-01 2.499730E-01 2.589095E-01 1.621176E-01 5.153085E-03 0.000000E+00 1.345394E-01 1.345394E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.858805E+15 8.196502E+35 8.338728E-01 7.276215E-02 1.684494E-02 2.419402E-01 2.497571E-01 2.579367E-01 1.601500E-01 6.089726E-04 0.000000E+00 1.363678E-01 1.363678E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.830630E+15 8.020140E+35 8.223505E-01 7.404679E-02 1.731998E-02 2.441949E-01 2.495038E-01 2.565194E-01 1.581370E-01 2.781712E-04 0.000000E+00 1.382194E-01 1.382194E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.802890E+15 7.846480E+35 8.109874E-01 7.526155E-02 1.784842E-02 2.466843E-01 2.491822E-01 2.546731E-01 1.560722E-01 2.781712E-04 0.000000E+00 1.400945E-01 1.400945E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.775577E+15 7.675491E+35 7.997813E-01 7.640315E-02 1.841152E-02 2.497751E-01 2.487567E-01 2.524334E-01 1.539420E-01 2.781712E-04 0.000000E+00 1.419934E-01 1.419934E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.748685E+15 7.507141E+35 7.887300E-01 7.747356E-02 1.898924E-02 2.535064E-01 2.481909E-01 2.498337E-01 1.517281E-01 2.781712E-04 0.000000E+00 1.439163E-01 1.439163E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.722208E+15 7.341401E+35 7.778315E-01 7.847309E-02 1.956425E-02 2.579165E-01 2.474471E-01 2.469111E-01 1.494098E-01 2.781712E-04 0.000000E+00 1.458634E-01 1.458634E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.696140E+15 7.178241E+35 7.670835E-01 7.940972E-02 2.012106E-02 2.630267E-01 2.464951E-01 2.437049E-01 1.469643E-01 2.781712E-04 0.000000E+00 1.478349E-01 1.478349E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.670473E+15 7.017629E+35 7.564841E-01 8.028868E-02 2.064728E-02 2.688511E-01 2.453082E-01 2.402543E-01 1.443722E-01 2.781712E-04 0.000000E+00 1.498312E-01 1.498312E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.645202E+15 6.859545E+35 7.460311E-01 8.111661E-02 2.113306E-02 2.753849E-01 2.438694E-01 2.365982E-01 1.416197E-01 2.781712E-04 0.000000E+00 1.518523E-01 1.518523E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.620320E+15 6.703951E+35 7.357226E-01 8.190247E-02 2.157397E-02 2.826133E-01 2.421675E-01 2.327735E-01 1.386911E-01 2.781712E-04 0.000000E+00 1.538986E-01 1.538986E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.595822E+15 6.550818E+35 7.255565E-01 8.265341E-02 2.196764E-02 2.905017E-01 2.402040E-01 2.288121E-01 1.355829E-01 2.781712E-04 0.000000E+00 1.559702E-01 1.559702E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.571702E+15 6.400124E+35 7.155309E-01 8.337603E-02 2.231425E-02 2.990091E-01 2.379827E-01 2.247474E-01 1.322924E-01 2.781712E-04 0.000000E+00 1.580674E-01 1.580674E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.547954E+15 6.251848E+35 7.056438E-01 8.407625E-02 2.261631E-02 3.080758E-01 2.355185E-01 2.206091E-01 1.288259E-01 2.781712E-04 0.000000E+00 1.601905E-01 1.601905E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.524572E+15 6.105954E+35 6.958933E-01 8.475940E-02 2.288050E-02 3.176420E-01 2.328288E-01 2.164223E-01 1.251889E-01 2.781712E-04 0.000000E+00 1.623396E-01 1.623396E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.501551E+15 5.962409E+35 6.862775E-01 8.542912E-02 2.311396E-02 3.276315E-01 2.299420E-01 2.122064E-01 1.213989E-01 2.781712E-04 0.000000E+00 1.645149E-01 1.645149E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.478884E+15 5.821197E+35 6.767947E-01 8.608781E-02 2.332503E-02 3.379768E-01 2.268816E-01 2.079819E-01 1.174687E-01 2.781712E-04 0.000000E+00 1.667167E-01 1.667167E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.456567E+15 5.682299E+35 6.674428E-01 8.673658E-02 2.352288E-02 3.486089E-01 2.236740E-01 2.037650E-01 1.134145E-01 2.781712E-04 0.000000E+00 1.689452E-01 1.689452E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.434594E+15 5.545676E+35 6.582202E-01 8.737533E-02 2.371706E-02 3.594600E-01 2.203479E-01 1.995661E-01 1.092555E-01 2.781712E-04 0.000000E+00 1.712006E-01 1.712006E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.412958E+15 5.411296E+35 6.491250E-01 8.800282E-02 2.391703E-02 3.704711E-01 2.169265E-01 1.953978E-01 1.050066E-01 2.781712E-04 0.000000E+00 1.734831E-01 1.734831E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.391657E+15 5.279143E+35 6.401555E-01 8.861681E-02 2.413185E-02 3.815977E-01 2.134289E-01 1.912663E-01 1.006802E-01 2.781712E-04 0.000000E+00 1.757929E-01 1.757929E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.370683E+15 5.149210E+35 6.313100E-01 8.921425E-02 2.436983E-02 3.928050E-01 2.098691E-01 1.871786E-01 9.628504E-02 2.781712E-04 0.000000E+00 1.781303E-01 1.781303E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
