       6     140      40      55

     EOS file :  /Users/tobyopferkuch/BSk24_test.dat                         

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   9.789950E-01   2.285690E+15    1.07009E+36   0.000000000E+00  -1.230997E+00   0.000000000E+00
     1     100.000001   9.788891E-01   2.285315E+15    1.06978E+36   4.812916742E-06  -1.230896E+00   3.452687529E-06
     2     116.664025   9.788543E-01   2.285191E+15    1.06967E+36   7.642080352E-06  -1.230863E+00   5.482394313E-06
     3     136.104405   9.788068E-01   2.285023E+15    1.06953E+36   1.213394984E-05  -1.230818E+00   8.705133216E-06
     4     158.783138   9.787423E-01   2.284795E+15    1.06934E+36   1.926527854E-05  -1.230757E+00   1.382194465E-05
     5     185.238833   9.786545E-01   2.284484E+15    1.06908E+36   3.058612111E-05  -1.230674E+00   2.194556935E-05
     6     216.099243   9.785350E-01   2.284060E+15    1.06873E+36   4.855576141E-05  -1.230561E+00   3.484194968E-05
     7     252.095742   9.783724E-01   2.283485E+15    1.06825E+36   7.707481855E-05  -1.230407E+00   5.531307182E-05
     8     294.080009   9.781513E-01   2.282701E+15    1.06759E+36   1.223273330E-04  -1.230197E+00   8.780349604E-05
     9     343.043136   9.778504E-01   2.281636E+15    1.06670E+36   1.941117643E-04  -1.229912E+00   1.393604656E-04
    10     400.137387   9.774414E-01   2.280188E+15    1.06549E+36   3.079412113E-04  -1.229524E+00   2.211519764E-04
    11     466.700711   9.768853E-01   2.278220E+15    1.06385E+36   4.883497775E-04  -1.228997E+00   3.508633202E-04
    12     544.283991   9.761299E-01   2.275547E+15    1.06162E+36   7.740813736E-04  -1.228281E+00   5.564724121E-04
    13     634.680711   9.751041E-01   2.271920E+15    1.05860E+36   1.226197586E-03  -1.227308E+00   8.821798859E-04
    14     739.958226   9.737125E-01   2.267002E+15    1.05451E+36   1.940671819E-03  -1.225988E+00   1.397686851E-03
    15     862.489081   9.718269E-01   2.260343E+15    1.04898E+36   3.067792641E-03  -1.224198E+00   2.212631351E-03
    16    1004.979576   9.692760E-01   2.251347E+15    1.04153E+36   4.841720800E-03  -1.221777E+00   3.498884659E-03
    17    1170.490901   9.658324E-01   2.239221E+15    1.03153E+36   7.624805973E-03  -1.218505E+00   5.524633844E-03
    18    1362.445526   9.611988E-01   2.222994E+15    1.01816E+36   1.197258641E-02  -1.214098E+00   8.705743783E-03
    19    1584.602342   9.549883E-01   2.201403E+15    1.00041E+36   1.872622841E-02  -1.208182E+00   1.368150539E-02
    20    1840.994917   9.467046E-01   2.172714E+15    9.77046E+35   2.913708191E-02  -1.200279E+00   2.142334216E-02
    21    2135.816418   9.357374E-01   2.135178E+15    9.46623E+35   4.502499794E-02  -1.189790E+00   3.338502753E-02
    22    2473.163120   9.213446E-01   2.086460E+15    9.07598E+35   6.895124379E-02  -1.175984E+00   5.169476199E-02
    23    2856.724610   9.026799E-01   2.024294E+15    8.58487E+35   1.043692642E-01  -1.158011E+00   7.938158089E-02
    24    3289.265215   8.788355E-01   1.946468E+15    7.98174E+35   1.556576472E-01  -1.134945E+00   1.205888039E-01
    25    3771.991690   8.489457E-01   1.851498E+15    7.26328E+35   2.279057999E-01  -1.105865E+00   1.806859641E-01
    26    4303.762695   8.123265E-01   1.738847E+15    6.43881E+35   3.262796964E-01  -1.070016E+00   2.661114388E-01
    27    4880.360948   7.686755E-01   1.609805E+15    5.53368E+35   4.548962895E-01  -1.027002E+00   3.837462204E-01
    28    5493.842672   7.182600E-01   1.467603E+15    4.58948E+35   6.152838344E-01  -9.770302E-01   5.396042671E-01
    29    6132.288035   6.620319E-01   1.317162E+15    3.65893E+35   8.048927104E-01  -9.211021E-01   7.368410313E-01
    30    6780.154524   6.016449E-01   1.164737E+15    2.79607E+35   1.016335691E+00  -8.610909E-01   9.734725370E-01
    31    7419.132071   5.392515E-01   1.016494E+15    2.04498E+35   1.237898626E+00  -7.996259E-01   1.240607331E+00
    32    8029.749168   4.772087E-01   8.777465E+14    1.43123E+35   1.455538141E+00  -7.397431E-01   1.522445053E+00
    33    8593.221919   4.176727E-01   7.519876E+14    9.59594E+34   1.655612400E+00  -6.843913E-01   1.798680063E+00
    34    9093.603723   3.623170E-01   6.409263E+14    6.17637E+34   1.827591194E+00  -6.359077E-01   2.049116874E+00
    35    9519.662001   3.121696E-01   5.446571E+14    3.82774E+34   1.965704896E+00  -5.956628E-01   2.258619170E+00
    36    9866.413848   2.676156E-01   4.621496E+14    2.29285E+34   2.069326153E+00  -5.639540E-01   2.420360897E+00
    37   10135.767834   2.285246E-01   3.917542E+14    1.33386E+34   2.142061441E+00  -5.401585E-01   2.535978530E+00
    38   10335.801001   1.944239E-01   3.316104E+14    7.57860E+33   2.190032442E+00  -5.230534E-01   2.613030141E+00
    39   10478.608431   1.646574E-01   2.798810E+14    4.23140E+33   2.219984507E+00  -5.111801E-01   2.661392302E+00
    40   10577.514892   1.385592E-01   2.349807E+14    2.33572E+33   2.237870689E+00  -5.031406E-01   2.690335407E+00
    41   10644.713212   1.157042E-01   1.959163E+14    1.28114E+33   2.248205391E+00  -4.977724E-01   2.707068768E+00
    42   10689.944628   9.603447E-02   1.624323E+14    7.00194E+32   2.254052313E+00  -4.942051E-01   2.716534708E+00
    43   10720.234707   7.483647E-02   1.264432E+14    3.86215E+32   2.257270894E+00  -4.918382E-01   2.721744107E+00
    44   10741.924955   4.449787E-02   7.503247E+13    2.48132E+32   2.258703347E+00  -4.901552E-01   2.724064208E+00
    45   10765.563518   3.125083E-02   5.264069E+13    1.43641E+32   2.259799854E+00  -4.883333E-01   2.725840118E+00
    46   10785.230227   2.193870E-02   3.691650E+13    8.31008E+31   2.260442377E+00  -4.868275E-01   2.726880423E+00
    47   10801.567434   1.534907E-02   2.580494E+13    4.80939E+31   2.260817477E+00  -4.855838E-01   2.727487616E+00
    48   10815.172500   1.072928E-02   1.802263E+13    2.78365E+31   2.261036282E+00  -4.845530E-01   2.727841748E+00
    49   10826.502163   7.450046E-03   1.250718E+13    1.61141E+31   2.261163752E+00  -4.836981E-01   2.728048044E+00
    50   10835.991203   5.090940E-03   8.543687E+12    9.37026E+30   2.261237496E+00  -4.829845E-01   2.728167343E+00
    51   10844.096030   3.323520E-03   5.574518E+12    5.51729E+30   2.261279828E+00  -4.823768E-01   2.728235812E+00
    52   10851.430653   2.019080E-03   3.384961E+12    3.34966E+30   2.261303739E+00  -4.818283E-01   2.728274485E+00
    53   10858.781994   1.134831E-03   1.901142E+12    2.05067E+30   2.261318122E+00  -4.812798E-01   2.728297747E+00
    54   10866.813925   6.161821E-04   1.031092E+12    1.29171E+30   2.261326557E+00  -4.806820E-01   2.728311395E+00
    55   10876.165448   3.646221E-04   6.099401E+11    7.93435E+29   2.261332119E+00  -4.799881E-01   2.728320395E+00
    56   10885.905584   1.840833E-04   3.075267E+11    5.37656E+29   2.261334987E+00  -4.792676E-01   2.728325038E+00
    57   10899.032119   1.197295E-04   1.999125E+11    3.19436E+29   2.261337448E+00  -4.783003E-01   2.728329022E+00
    58   10911.083336   7.822629E-05   1.304882E+11    1.88448E+29   2.261338935E+00  -4.774160E-01   2.728331428E+00
    59   10922.020627   5.074875E-05   8.457562E+10    1.11946E+29   2.261339809E+00  -4.766164E-01   2.728332843E+00
    60   10932.082433   3.400258E-05   5.664908E+10    6.57563E+28   2.261340340E+00  -4.758833E-01   2.728333701E+00
    61   10940.937079   2.208799E-05   3.677849E+10    3.91154E+28   2.261340647E+00  -4.752402E-01   2.728334199E+00
    62   10949.074554   1.470172E-05   2.446524E+10    2.29753E+28   2.261340835E+00  -4.746508E-01   2.728334502E+00
    63   10956.280069   9.604476E-06   1.597411E+10    1.36299E+28   2.261340943E+00  -4.741303E-01   2.728334678E+00
    64   10962.842931   6.315931E-06   1.050723E+10    8.10912E+27   2.261341008E+00  -4.736572E-01   2.728334782E+00
    65   10968.792335   4.237452E-06   7.044948E+09    4.75745E+27   2.261341047E+00  -4.732292E-01   2.728334846E+00
    66   10974.008779   2.807426E-06   4.665370E+09    2.80082E+27   2.261341070E+00  -4.728547E-01   2.728334883E+00
    67   10978.654474   1.876666E-06   3.117841E+09    1.64726E+27   2.261341084E+00  -4.725216E-01   2.728334905E+00
    68   10982.749444   1.259822E-06   2.092586E+09    9.65849E+26   2.261341092E+00  -4.722285E-01   2.728334918E+00
    69   10986.331898   8.460098E-07   1.405277E+09    5.66183E+26   2.261341097E+00  -4.719723E-01   2.728334926E+00
    70   10989.462905   5.433794E-07   9.021403E+08    3.38794E+26   2.261341099E+00  -4.717487E-01   2.728334930E+00
    71   10992.384401   3.653497E-07   6.064802E+08    1.98492E+26   2.261341101E+00  -4.715403E-01   2.728334933E+00
    72   10994.933023   2.458244E-07   4.080980E+08    1.16264E+26   2.261341102E+00  -4.713586E-01   2.728334934E+00
    73   10997.153473   1.605764E-07   2.665109E+08    6.81893E+25   2.261341102E+00  -4.712004E-01   2.728334935E+00
    74   10999.149134   1.083585E-07   1.798321E+08    3.98928E+25   2.261341103E+00  -4.710583E-01   2.728334936E+00
    75   11000.880583   7.317577E-08   1.214308E+08    2.33359E+25   2.261341103E+00  -4.709352E-01   2.728334936E+00
    76   11002.381430   4.953810E-08   8.218723E+07    1.36365E+25   2.261341103E+00  -4.708285E-01   2.728334936E+00
