       6     139      39      54

     EOS file :  Prof_BSk26_2.0.dat                                          

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   7.842672E-01   1.579956E+15    4.86854E+35   0.000000000E+00  -8.690405E-01   0.000000000E+00
     1     100.000001   7.842108E-01   1.579804E+15    4.86747E+35   3.327050774E-06  -8.689843E-01   2.765969860E-06
     2     116.664584   7.841926E-01   1.579754E+15    4.86713E+35   5.282907810E-06  -8.689662E-01   4.392045998E-06
     3     136.105779   7.841679E-01   1.579688E+15    4.86666E+35   8.388368539E-06  -8.689416E-01   6.973967736E-06
     4     158.785767   7.841343E-01   1.579597E+15    4.86602E+35   1.331893034E-05  -8.689081E-01   1.107347338E-05
     5     185.243442   7.840885E-01   1.579473E+15    4.86515E+35   2.114676236E-05  -8.688626E-01   1.758227667E-05
     6     216.106999   7.840262E-01   1.579304E+15    4.86397E+35   3.357335881E-05  -8.688006E-01   2.791572509E-05
     7     252.108519   7.839415E-01   1.579075E+15    4.86236E+35   5.329831681E-05  -8.687162E-01   4.431991034E-05
     8     294.100795   7.838262E-01   1.578763E+15    4.86017E+35   8.460350296E-05  -8.686015E-01   7.035845935E-05
     9     343.076685   7.836693E-01   1.578339E+15    4.85719E+35   1.342775838E-04  -8.684453E-01   1.116836217E-04
    10     400.191248   7.834559E-01   1.577762E+15    4.85314E+35   2.130774547E-04  -8.682329E-01   1.772565897E-04
    11     466.786853   7.831657E-01   1.576977E+15    4.84764E+35   3.380345245E-04  -8.679441E-01   2.812764012E-04
    12     544.421365   7.827712E-01   1.575910E+15    4.84017E+35   5.360860228E-04  -8.675515E-01   4.462237621E-04
    13     634.899267   7.822349E-01   1.574460E+15    4.83003E+35   8.497748590E-04  -8.670180E-01   7.076532288E-04
    14     740.305193   7.815064E-01   1.572492E+15    4.81627E+35   1.346158346E-03  -8.662934E-01   1.121714395E-03
    15     863.038732   7.805177E-01   1.569820E+15    4.79764E+35   2.130650933E-03  -8.653102E-01   1.776905555E-03
    16    1005.848270   7.791769E-01   1.566200E+15    4.77246E+35   3.368360198E-03  -8.639775E-01   2.812333412E-03
    17    1171.860018   7.773612E-01   1.561300E+15    4.73850E+35   5.316604414E-03  -8.621738E-01   4.445849687E-03
    18    1364.595878   7.749067E-01   1.554684E+15    4.69285E+35   8.373696149E-03  -8.597375E-01   7.016918798E-03
    19    1587.970044   7.715989E-01   1.545839E+15    4.63176E+35   1.315060028E-02  -8.564557E-01   1.105090604E-02
    20    1846.239673   7.671535E-01   1.533989E+15    4.55049E+35   2.057246619E-02  -8.520513E-01   1.735307691E-02
    21    2143.918433   7.612044E-01   1.518165E+15    4.44325E+35   3.201615832E-02  -8.461692E-01   2.714236739E-02
    22    2485.584534   7.532938E-01   1.497329E+15    4.30323E+35   4.948327410E-02  -8.383650E-01   4.223192041E-02
    23    2875.529777   7.428525E-01   1.470028E+15    4.12294E+35   7.578749016E-02  -8.281014E-01   6.525252423E-02
    24    3317.302410   7.292119E-01   1.434799E+15    3.89503E+35   1.147081165E-01  -8.147576E-01   9.989738719E-02
    25    3812.959513   7.116232E-01   1.390084E+15    3.61366E+35   1.709929345E-01  -7.976687E-01   1.511073561E-01
    26    4362.139794   6.893141E-01   1.334427E+15    3.27660E+35   2.500406873E-01  -7.762044E-01   2.250498000E-01
    27    4960.996230   6.615970E-01   1.266957E+15    2.88769E+35   3.570530471E-01  -7.499005E-01   3.286480918E-01
    28    5601.079424   6.280100E-01   1.187514E+15    2.45899E+35   4.955212062E-01  -7.186424E-01   4.683508355E-01
    29    6268.667340   5.885028E-01   1.097222E+15    2.01132E+35   6.652488650E-01  -6.828645E-01   6.479924551E-01
    30    6944.772642   5.435886E-01   9.983704E+14    1.57203E+35   8.605744075E-01  -6.437035E-01   8.659894575E-01
    31    7606.501761   4.944290E-01   8.944569E+14    1.16960E+35   1.069944118E+00  -6.029930E-01   1.113016393E+00
    32    8229.652853   4.427523E-01   7.895763E+14    8.26923E+34   1.277695928E+00  -5.630304E-01   1.371855622E+00
    33    8792.290259   3.906036E-01   6.877360E+14    5.56016E+34   1.467834748E+00  -5.261239E-01   1.620761768E+00
    34    9278.241315   3.399794E-01   5.922209E+14    3.56706E+34   1.628236317E+00  -4.940792E-01   1.839577598E+00
    35    9679.384467   2.924726E-01   5.051323E+14    2.19496E+34   1.753229962E+00  -4.678542E-01   2.015525553E+00
    36    9996.162023   2.490750E-01   4.273817E+14    1.30417E+34   1.843635131E+00  -4.475111E-01   2.145581128E+00
    37   10236.248094   2.101528E-01   3.588558E+14    7.53837E+33   1.904762542E+00  -4.324318E-01   2.234732052E+00
    38   10411.981083   1.755599E-01   2.987278E+14    4.27188E+33   1.943765416E+00  -4.216414E-01   2.292064646E+00
    39   10537.396165   1.448323E-01   2.458076E+14    2.39133E+33   1.967509096E+00  -4.140971E-01   2.327109767E+00
    40   10625.762773   1.175661E-01   1.991516E+14    1.33147E+33   1.981464184E+00  -4.088727E-01   2.347745850E+00
    41   10688.059861   9.443158E-02   1.597393E+14    7.39639E+32   1.989503022E+00  -4.052408E-01   2.359641483E+00
    42   10732.008727   6.187902E-02   1.044966E+14    4.24933E+32   1.993874836E+00  -4.027066E-01   2.366112477E+00
    43   10771.089369   4.413264E-02   7.441482E+13    2.44989E+32   1.996420301E+00  -4.004750E-01   2.369881798E+00
    44   10803.102809   3.100878E-02   5.223178E+13    1.41923E+32   1.997902401E+00  -3.986634E-01   2.372076161E+00
    45   10829.782685   2.177635E-02   3.664252E+13    8.21515E+31   1.998773952E+00  -3.971653E-01   2.373366213E+00
    46   10851.977197   1.523856E-02   2.561870E+13    4.75661E+31   1.999284210E+00  -3.959274E-01   2.374121347E+00
    47   10870.483722   1.065425E-02   1.789630E+13    2.75398E+31   1.999582605E+00  -3.949011E-01   2.374562877E+00
    48   10885.910159   7.397829E-03   1.241945E+13    1.59484E+31   1.999756756E+00  -3.940497E-01   2.374820554E+00
    49   10898.844797   5.052600E-03   8.479254E+12    9.27643E+30   1.999857696E+00  -3.933387E-01   2.374969845E+00
    50   10909.908217   3.291531E-03   5.520811E+12    5.46412E+30   1.999915709E+00  -3.927326E-01   2.375055634E+00
    51   10919.950522   1.999899E-03   3.352774E+12    3.31780E+30   1.999948536E+00  -3.921842E-01   2.375104174E+00
    52   10930.020612   1.122429E-03   1.880335E+12    2.03394E+30   1.999968264E+00  -3.916359E-01   2.375133346E+00
    53   10941.059351   6.105323E-04   1.021633E+12    1.28100E+30   1.999979889E+00  -3.910366E-01   2.375150542E+00
    54   10953.893975   3.617452E-04   6.051213E+11    7.86898E+29   1.999987560E+00  -3.903423E-01   2.375161892E+00
    55   10967.253908   1.828267E-04   3.054214E+11    5.33276E+29   1.999991520E+00  -3.896223E-01   2.375167752E+00
    56   10985.252966   1.190114E-04   1.987059E+11    3.16876E+29   1.999994924E+00  -3.886567E-01   2.375172790E+00
    57   11001.780630   7.774192E-05   1.296773E+11    1.87043E+29   1.999996984E+00  -3.877744E-01   2.375175837E+00
    58   11016.803604   5.039833E-05   8.399084E+10    1.11128E+29   1.999998197E+00  -3.869761E-01   2.375177633E+00
    59   11030.645780   3.380384E-05   5.631759E+10    6.52438E+28   1.999998935E+00  -3.862436E-01   2.375178725E+00
    60   11042.816463   2.196913E-05   3.658085E+10    3.88353E+28   1.999999363E+00  -3.856019E-01   2.375179358E+00
    61   11054.009662   1.461505E-05   2.432096E+10    2.28158E+28   1.999999624E+00  -3.850138E-01   2.375179744E+00
    62   11063.933651   9.546757E-06   1.587817E+10    1.35352E+28   1.999999776E+00  -3.844939E-01   2.375179968E+00
    63   11072.977793   6.281860E-06   1.045059E+10    8.05074E+27   1.999999866E+00  -3.840214E-01   2.375180102E+00
    64   11081.172988   4.214977E-06   7.007586E+09    4.72377E+27   1.999999921E+00  -3.835943E-01   2.375180183E+00
    65   11088.361585   2.792322E-06   4.640238E+09    2.78158E+27   1.999999953E+00  -3.832204E-01   2.375180231E+00
    66   11094.767769   1.866983E-06   3.101749E+09    1.63589E+27   1.999999972E+00  -3.828879E-01   2.375180259E+00
    67   11100.414811   1.253403E-06   2.081916E+09    9.59257E+26   1.999999984E+00  -3.825953E-01   2.375180275E+00
    68   11105.356476   8.417446E-07   1.398203E+09    5.62356E+26   1.999999990E+00  -3.823397E-01   2.375180285E+00
    69   11109.676435   5.409654E-07   8.981314E+08    3.36770E+26   1.999999994E+00  -3.821165E-01   2.375180291E+00
    70   11113.708955   3.637425E-07   6.038111E+08    1.97317E+26   1.999999996E+00  -3.819083E-01   2.375180294E+00
    71   11117.227520   2.447537E-07   4.063214E+08    1.15581E+26   1.999999998E+00  -3.817270E-01   2.375180296E+00
    72   11120.293510   1.599180E-07   2.654179E+08    6.78085E+25   1.999999999E+00  -3.815690E-01   2.375180297E+00
    73   11123.049643   1.079172E-07   1.790997E+08    3.96715E+25   1.999999999E+00  -3.814272E-01   2.375180298E+00
    74   11125.441225   7.288236E-08   1.209436E+08    2.32071E+25   1.999999999E+00  -3.813042E-01   2.375180299E+00
    75   11127.514456   4.934051E-08   8.185922E+07    1.35617E+25   2.000000000E+00  -3.811977E-01   2.375180299E+00
    76   11129.305565   3.347518E-08   5.553431E+07    7.92290E+24   2.000000000E+00  -3.811057E-01   2.375180299E+00
