       6     135      32      50

     EOS file :  Prof_nl3wr_1.0.dat                                          

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   2.562638E-01   4.452232E+14    3.31139E+34   0.000000000E+00  -2.522253E-01   0.000000000E+00
     1     100.000001   2.562553E-01   4.452073E+14    3.31094E+34   9.375932351E-07  -2.522149E-01   9.038066260E-07
     2     116.665342   2.562528E-01   4.452025E+14    3.31081E+34   1.488811577E-06  -2.522118E-01   1.435166235E-06
     3     136.107683   2.562493E-01   4.451960E+14    3.31062E+34   2.364067367E-06  -2.522075E-01   2.278895065E-06
     4     158.789470   2.562446E-01   4.451871E+14    3.31037E+34   3.753814669E-06  -2.522017E-01   3.618595950E-06
     5     185.250013   2.562382E-01   4.451750E+14    3.31003E+34   5.960408582E-06  -2.521938E-01   5.745755235E-06
     6     216.118169   2.562295E-01   4.451585E+14    3.30956E+34   9.463807317E-06  -2.521830E-01   9.123095161E-06
     7     252.127056   2.562176E-01   4.451361E+14    3.30893E+34   1.502579837E-05  -2.521684E-01   1.448508328E-05
     8     294.131120   2.562014E-01   4.451057E+14    3.30806E+34   2.385527627E-05  -2.521485E-01   2.299733934E-05
     9     343.125840   2.561794E-01   4.450642E+14    3.30689E+34   3.787020186E-05  -2.521214E-01   3.650933910E-05
    10     400.270427   2.561495E-01   4.450078E+14    3.30529E+34   6.011251394E-05  -2.520845E-01   5.795477401E-05
    11     466.913837   2.561087E-01   4.449310E+14    3.30311E+34   9.540468541E-05  -2.520343E-01   9.198531168E-05
    12     544.624364   2.560533E-01   4.448266E+14    3.30016E+34   1.513873332E-04  -2.519661E-01   1.459726802E-04
    13     635.222985   2.559779E-01   4.446845E+14    3.29614E+34   2.401561841E-04  -2.518733E-01   2.315906649E-04
    14     740.820387   2.558753E-01   4.444912E+14    3.29067E+34   3.808384515E-04  -2.517472E-01   3.673072925E-04
    15     863.857215   2.557358E-01   4.442285E+14    3.28326E+34   6.036344876E-04  -2.515759E-01   5.822994008E-04
    16    1007.146374   2.555463E-01   4.438714E+14    3.27320E+34   9.561296163E-04  -2.513433E-01   9.225767342E-04
    17    1173.915079   2.552888E-01   4.433862E+14    3.25958E+34   1.513090301E-03  -2.510279E-01   1.460509725E-03
    18    1367.842516   2.549418E-01   4.427324E+14    3.24115E+34   2.391539485E-03  -2.506005E-01   2.309540857E-03
    19    1593.083882   2.544753E-01   4.418533E+14    3.21628E+34   3.773686470E-03  -2.500227E-01   3.646664304E-03
    20    1854.273744   2.538434E-01   4.406627E+14    3.18283E+34   5.941151110E-03  -2.492431E-01   5.746202391E-03
    21    2156.491501   2.529837E-01   4.390467E+14    3.13801E+34   9.324915417E-03  -2.481946E-01   9.029559635E-03
    22    2505.156403   2.517720E-01   4.367814E+14    3.07830E+34   1.457533233E-02  -2.467906E-01   1.413592511E-02
    23    2905.876922   2.501091E-01   4.336840E+14    2.99939E+34   2.265492180E-02  -2.449211E-01   2.201793918E-02
    24    3364.000368   2.479362E-01   4.296366E+14    2.89615E+34   3.495405600E-02  -2.424510E-01   3.406511603E-02
    25    3883.909442   2.451299E-01   4.244094E+14    2.76292E+34   5.340379096E-02  -2.392219E-01   5.223352621E-02
    26    4468.104414   2.413666E-01   4.174360E+14    2.59409E+34   8.054069531E-02  -2.350604E-01   7.914204308E-02
    27    5116.267607   2.364321E-01   4.083392E+14    2.38535E+34   1.194168435E-01  -2.297954E-01   1.180309312E-01
    28    5823.221347   2.300651E-01   3.966704E+14    2.13516E+34   1.732773331E-01  -2.232964E-01   1.725011511E-01
    29    6577.355062   2.220345E-01   3.820515E+14    1.84730E+34   2.446806509E-01  -2.155262E-01   2.456700703E-01
    30    7358.927483   2.120489E-01   3.640269E+14    1.53272E+34   3.342183568E-01  -2.066098E-01   3.388320890E-01
    31    8140.299902   2.000416E-01   3.425463E+14    1.21005E+34   4.390350000E-01  -1.968852E-01   4.497362748E-01
    32    8887.748908   1.858597E-01   3.174307E+14    9.02955E+33   5.520959388E-01  -1.869089E-01   5.714523195E-01
    33    9567.598973   1.696611E-01   2.890271E+14    6.34569E+33   6.631185570E-01  -1.773567E-01   6.929656531E-01
    34   10153.180120   1.519239E-01   2.582008E+14    4.20293E+33   7.616900735E-01  -1.688547E-01   8.024218203E-01
    35   10630.741453   1.296510E-01   2.200708E+14    2.66035E+33   8.396701707E-01  -1.618110E-01   8.899695539E-01
    36   11014.523315   1.090226E-01   1.848022E+14    1.61375E+33   8.972252795E-01  -1.561443E-01   9.550733812E-01
    37   11310.454175   9.063208E-02   1.534042E+14    9.47066E+32   9.366763043E-01  -1.518102E-01   9.999283133E-01
    38   11530.839325   7.193474E-02   1.215681E+14    5.44980E+32   9.619575495E-01  -1.486227E-01   1.028770909E+00
    39   11697.347999   5.220122E-02   8.807967E+13    3.20826E+32   9.767652403E-01  -1.462496E-01   1.045702740E+00
    40   11836.818504   3.718459E-02   6.266780E+13    1.87960E+32   9.859304320E-01  -1.442938E-01   1.056196492E+00
    41   11954.688458   2.628283E-02   4.424986E+13    1.09893E+32   9.915304279E-01  -1.426682E-01   1.062611364E+00
    42   12054.485590   1.851453E-02   3.114072E+13    6.40382E+31   9.949362665E-01  -1.413136E-01   1.066513817E+00
    43   12138.708259   1.298897E-02   2.182837E+13    3.72706E+31   9.969857724E-01  -1.401870E-01   1.068862410E+00
    44   12209.774217   9.102601E-03   1.528416E+13    2.16558E+31   9.982131326E-01  -1.392486E-01   1.070268993E+00
    45   12269.555064   6.305429E-03   1.058437E+13    1.26116E+31   9.989401398E-01  -1.384681E-01   1.071102078E+00
    46   12320.405980   4.258703E-03   7.145221E+12    7.38831E+30   9.993680936E-01  -1.378107E-01   1.071592335E+00
    47   12364.964061   2.657819E-03   4.456981E+12    4.41090E+30   9.996160771E-01  -1.372396E-01   1.071876412E+00
    48   12407.968793   1.626785E-03   2.726747E+12    2.68236E+30   9.997622276E-01  -1.366927E-01   1.072043830E+00
    49   12451.059454   8.785932E-04   1.471317E+12    1.69439E+30   9.998469890E-01  -1.361491E-01   1.072140939E+00
    50   12501.900476   4.964775E-04   8.306951E+11    1.06256E+30   9.999020672E-01  -1.355132E-01   1.072204067E+00
    51   12558.896193   2.240923E-04   3.744382E+11    6.65152E+29   9.999373406E-01  -1.348073E-01   1.072244494E+00
    52   12638.841727   1.438247E-04   2.401687E+11    3.99854E+29   9.999614411E-01  -1.338296E-01   1.072272131E+00
    53   12714.883197   9.495974E-05   1.584852E+11    2.37288E+29   9.999766108E-01  -1.329128E-01   1.072289520E+00
    54   12784.232084   6.164913E-05   1.027601E+11    1.41458E+29   9.999857779E-01  -1.320876E-01   1.072300028E+00
    55   12848.805380   4.086165E-05   6.809005E+10    8.40307E+28   9.999913979E-01  -1.313284E-01   1.072306471E+00
    56   12907.379911   2.669004E-05   4.444152E+10    4.95740E+28   9.999948409E-01  -1.306473E-01   1.072310416E+00
    57   12960.887848   1.779041E-05   2.961653E+10    2.93058E+28   9.999969047E-01  -1.300313E-01   1.072312781E+00
    58   13008.812830   1.165315E-05   1.938764E+10    1.73371E+28   9.999981443E-01  -1.294845E-01   1.072314201E+00
    59   13052.496533   7.546164E-06   1.255240E+10    1.02850E+28   9.999988859E-01  -1.289901E-01   1.072315051E+00
    60   13092.835590   5.067244E-06   8.425615E+09    6.04165E+27   9.999993385E-01  -1.285369E-01   1.072315569E+00
    61   13128.392478   3.380327E-06   5.618786E+09    3.55080E+27   9.999996075E-01  -1.281401E-01   1.072315877E+00
    62   13159.927618   2.245820E-06   3.731337E+09    2.09473E+27   9.999997665E-01  -1.277902E-01   1.072316060E+00
    63   13188.098187   1.508285E-06   2.505634E+09    1.22950E+27   9.999998619E-01  -1.274793E-01   1.072316169E+00
    64   13212.844184   1.013440E-06   1.683059E+09    7.21414E+26   9.999999184E-01  -1.272074E-01   1.072316234E+00
    65   13234.554894   6.493483E-07   1.078216E+09    4.25355E+26   9.999999516E-01  -1.269698E-01   1.072316272E+00
    66   13254.612712   4.342263E-07   7.208633E+08    2.50487E+26   9.999999714E-01  -1.267512E-01   1.072316294E+00
    67   13272.342248   2.921694E-07   4.849928E+08    1.46834E+26   9.999999831E-01  -1.265585E-01   1.072316308E+00
    68   13287.837800   1.964177E-07   3.261059E+08    8.60549E+25   9.999999901E-01  -1.263906E-01   1.072316316E+00
    69   13301.380668   1.299648E-07   2.156967E+08    5.11115E+25   9.999999941E-01  -1.262442E-01   1.072316320E+00
    70   13313.570394   8.772825E-08   1.455889E+08    2.99142E+25   9.999999965E-01  -1.261127E-01   1.072316323E+00
    71   13324.162758   5.936522E-08   9.850127E+07    1.74958E+25   9.999999980E-01  -1.259987E-01   1.072316325E+00
    72   13333.336351   4.019787E-08   6.668317E+07    1.02270E+25   9.999999988E-01  -1.259001E-01   1.072316326E+00
    73   13341.270054   2.732845E-08   4.534055E+07    5.96861E+24   9.999999993E-01  -1.258150E-01   1.072316326E+00
    74   13348.089193   1.860245E-08   3.086641E+07    3.48238E+24   9.999999996E-01  -1.257419E-01   1.072316326E+00
    75   13353.940447   1.272103E-08   2.110537E+07    2.02791E+24   9.999999998E-01  -1.256792E-01   1.072316327E+00
    76   13358.928815   8.722051E-09   1.446907E+07    1.18052E+24   9.999999999E-01  -1.256259E-01   1.072316327E+00
