       6     141      40      56

     EOS file :  Prof_B0_1.0.dat                                             

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   2.657220E+01   8.475675E+16    1.16590E+38   0.000000000E+00  -3.431205E+00   0.000000000E+00
     1     100.000001   2.633656E+01   8.392756E+16    1.15113E+38   1.771807276E-04  -3.423499E+00   9.323161559E-05
     2     116.572514   2.625634E+01   8.364544E+16    1.14612E+38   2.802458431E-04  -3.420864E+00   1.475739905E-04
     3     135.871033   2.614804E+01   8.326472E+16    1.13936E+38   4.426656873E-04  -3.417295E+00   2.333395189E-04
     4     158.324400   2.600229E+01   8.275261E+16    1.13029E+38   6.979346163E-04  -3.412472E+00   3.684056065E-04
     5     184.420003   2.580692E+01   8.206664E+16    1.11815E+38   1.097685630E-03  -3.405970E+00   5.804946374E-04
     6     214.706393   2.554646E+01   8.115294E+16    1.10204E+38   1.720688255E-03  -3.397235E+00   9.122411177E-04
     7     249.793104   2.520167E+01   7.994488E+16    1.08082E+38   2.685446359E-03  -3.385552E+00   1.428493914E-03
     8     290.346076   2.474946E+01   7.836307E+16    1.05318E+38   4.166961795E-03  -3.370016E+00   2.226462613E-03
     9     337.076916   2.416349E+01   7.631783E+16    1.01768E+38   6.417400148E-03  -3.349514E+00   3.449107648E-03
    10     390.724443   2.341583E+01   7.371568E+16    9.72928E+37   9.788588244E-03  -3.322719E+00   5.301533952E-03
    11     452.028022   2.248014E+01   7.047130E+16    9.17781E+37   1.475123854E-02  -3.288119E+00   8.068861038E-03
    12     521.694472   2.133663E+01   6.652540E+16    8.51720E+37   2.190193827E-02  -3.244099E+00   1.213206599E-02
    13     600.363753   1.997820E+01   6.186634E+16    7.75206E+37   3.194603142E-02  -3.189071E+00   1.797608343E-02
    14     688.582319   1.841637E+01   5.655034E+16    6.89974E+37   4.564587799E-02  -3.121662E+00   2.618321311E-02
    15     786.794990   1.668496E+01   5.071178E+16    5.99071E+37   6.373286141E-02  -3.040917E+00   3.740633046E-02
    16     895.364321   1.483911E+01   4.455639E+16    5.06550E+37   8.679742779E-02  -2.946491E+00   5.232150013E-02
    17    1014.620591   1.294893E+01   3.833525E+16    4.16823E+37   1.151872008E-01  -2.838746E+00   7.156710579E-02
    18    1144.938125   1.108921E+01   3.230581E+16    3.33892E+37   1.489478720E-01  -2.718762E+00   9.568296591E-02
    19    1286.828894   9.328157E+00   2.669228E+16    2.60700E+37   1.878292714E-01  -2.588234E+00   1.250645230E-01
    20    1441.044151   7.718686E+00   2.165716E+16    1.98814E+37   2.313554455E-01  -2.449290E+00   1.599432500E-01
    21    1608.678054   6.294016E+00   1.728997E+16    1.48474E+37   2.789359361E-01  -2.304294E+00   2.003972079E-01
    22    1791.270709   5.067796E+00   1.361207E+16    1.08891E+37   3.299862322E-01  -2.155639E+00   2.463884813E-01
    23    1990.910001   4.037419E+00   1.059179E+16    7.86580E+36   3.840299593E-01  -2.005590E+00   2.978192423E-01
    24    2210.331995   3.188830E+00   8.163340E+15    5.61200E+36   4.407680083E-01  -1.856165E+00   3.545961802E-01
    25    2453.019618   2.501358E+00   6.244160E+15    3.96483E+36   5.001131020E-01  -1.709068E+00   4.166938099E-01
    26    2723.299405   1.951711E+00   4.748276E+15    2.77992E+36   5.621973144E-01  -1.565669E+00   4.842099522E-01
    27    3026.436111   1.516785E+00   3.594906E+15    1.93805E+36   6.273634601E-01  -1.427012E+00   5.574103045E-01
    28    3368.724544   1.175373E+00   2.713012E+15    1.34554E+36   6.961502462E-01  -1.293852E+00   6.367622401E-01
    29    3757.576685   9.124323E-01   2.052096E+15    9.31324E+35   7.693343149E-01  -1.166695E+00   7.230171317E-01
    30    4200.067104   7.223739E-01   1.588160E+15    6.41122E+35   8.487425806E-01  -1.046118E+00   8.180738456E-01
    31    4694.618027   5.849254E-01   1.261250E+15    4.38254E+35   9.357375992E-01  -9.340898E-01   9.233420975E-01
    32    5232.285849   4.840877E-01   1.026599E+15    2.96812E+35   1.030547617E+00  -8.323494E-01   1.039048160E+00
    33    5796.915194   4.086951E-01   8.540654E+14    1.98495E+35   1.131802969E+00  -7.421408E-01   1.163643691E+00
    34    6366.248237   3.507513E-01   7.231823E+14    1.30530E+35   1.236156039E+00  -6.642047E-01   1.293225432E+00
    35    6914.719376   3.045602E-01   6.200194E+14    8.40290E+34   1.338406626E+00  -5.987779E-01   1.421486973E+00
    36    7417.458248   2.661186E-01   5.351012E+14    5.27505E+34   1.432416161E+00  -5.455862E-01   1.540676214E+00
    37    7854.716748   2.329628E-01   4.626907E+14    3.22144E+34   1.512709943E+00  -5.038299E-01   1.643563848E+00
    38    8215.014991   2.037935E-01   3.997694E+14    1.91319E+34   1.576070896E+00  -4.722489E-01   1.725583615E+00
    39    8496.290278   1.780303E-01   3.449346E+14    1.10625E+34   1.622314065E+00  -4.492546E-01   1.786014447E+00
    40    8704.649690   1.553317E-01   2.973111E+14    6.24690E+33   1.653658078E+00  -4.331291E-01   1.827343070E+00
    41    8851.796828   1.318110E-01   2.452147E+14    3.50655E+33   1.673217088E+00  -4.222036E-01   1.853522095E+00
    42    8957.384711   1.107162E-01   1.993873E+14    1.96184E+33   1.684996835E+00  -4.146058E-01   1.869744251E+00
    43    9032.879249   9.279325E-02   1.617023E+14    1.08961E+33   1.691979204E+00  -4.093018E-01   1.879649790E+00
    44    9086.037985   7.649004E-02   1.293056E+14    6.03176E+32   1.696012546E+00  -4.056332E-01   1.885546110E+00
    45    9123.570555   5.481114E-02   9.250565E+13    3.47761E+32   1.698183554E+00  -4.030770E-01   1.888766484E+00
    46    9154.229471   3.878045E-02   6.536538E+13    2.00584E+32   1.699458439E+00  -4.010107E-01   1.890657369E+00
    47    9179.535130   2.723963E-02   4.586553E+13    1.16143E+32   1.700201513E+00  -3.993204E-01   1.891759007E+00
    48    9200.610583   1.911037E-02   3.214535E+13    6.72119E+31   1.700637846E+00  -3.979232E-01   1.892405690E+00
    49    9218.147157   1.336313E-02   2.245869E+13    3.89225E+31   1.700892932E+00  -3.967681E-01   1.892783662E+00
    50    9232.776383   9.341951E-03   1.568703E+13    2.25314E+31   1.701042115E+00  -3.958097E-01   1.893004683E+00
    51    9244.965745   6.463363E-03   1.084967E+13    1.30784E+31   1.701128823E+00  -3.950148E-01   1.893133120E+00
    52    9255.241328   4.365495E-03   7.324650E+12    7.63598E+30   1.701179069E+00  -3.943472E-01   1.893207521E+00
    53    9264.161262   2.732716E-03   4.582701E+12    4.53536E+30   1.701207853E+00  -3.937696E-01   1.893250138E+00
    54    9272.655674   1.660357E-03   2.783042E+12    2.75384E+30   1.701224472E+00  -3.932212E-01   1.893274743E+00
    55    9281.173562   9.014752E-04   1.509715E+12    1.72847E+30   1.701234082E+00  -3.926729E-01   1.893288971E+00
    56    9291.056320   5.069124E-04   8.481632E+11    1.08273E+30   1.701240163E+00  -3.920388E-01   1.893297980E+00
    57    9302.111357   2.281344E-04   3.811925E+11    6.77459E+29   1.701244002E+00  -3.913319E-01   1.893303666E+00
    58    9317.551984   1.458548E-04   2.435580E+11    4.06688E+29   1.701246584E+00  -3.903491E-01   1.893307493E+00
    59    9332.137809   9.616754E-05   1.605057E+11    2.40857E+29   1.701248179E+00  -3.894255E-01   1.893309856E+00
    60    9345.313791   6.231156E-05   1.038653E+11    1.43288E+29   1.701249125E+00  -3.885951E-01   1.893311258E+00
    61    9357.482854   4.120848E-05   6.866830E+10    8.49824E+28   1.701249695E+00  -3.878314E-01   1.893312101E+00
    62    9368.446462   2.691676E-05   4.482008E+10    5.00336E+28   1.701250038E+00  -3.871461E-01   1.893312610E+00
    63    9378.373974   1.790035E-05   2.980013E+10    2.95481E+28   1.701250241E+00  -3.865277E-01   1.893312910E+00
    64    9387.222680   1.171212E-05   1.948597E+10    1.74482E+28   1.701250361E+00  -3.859783E-01   1.893313088E+00
    65    9395.238352   7.573757E-06   1.259827E+10    1.03353E+28   1.701250432E+00  -3.854820E-01   1.893313193E+00
    66    9402.602668   5.080780E-06   8.448189E+09    6.06323E+27   1.701250475E+00  -3.850272E-01   1.893313257E+00
    67    9409.061966   3.386713E-06   5.629414E+09    3.55937E+27   1.701250500E+00  -3.846292E-01   1.893313294E+00
    68    9414.765430   2.248194E-06   3.735282E+09    2.09769E+27   1.701250515E+00  -3.842785E-01   1.893313316E+00
    69    9419.841310   1.508850E-06   2.506574E+09    1.23012E+27   1.701250524E+00  -3.839670E-01   1.893313329E+00
    70    9424.284884   1.013215E-06   1.682685E+09    7.21200E+26   1.701250529E+00  -3.836947E-01   1.893313337E+00
    71    9428.171710   6.486953E-07   1.077128E+09    4.24948E+26   1.701250532E+00  -3.834569E-01   1.893313341E+00
    72    9431.754257   4.336657E-07   7.199322E+08    2.50051E+26   1.701250534E+00  -3.832379E-01   1.893313344E+00
    73    9434.912198   2.916696E-07   4.841635E+08    1.46495E+26   1.701250535E+00  -3.830451E-01   1.893313345E+00
    74    9437.666275   1.959508E-07   3.253296E+08    8.58157E+25   1.701250535E+00  -3.828772E-01   1.893313346E+00
    75    9440.069573   1.296443E-07   2.151645E+08    5.09398E+25   1.701250536E+00  -3.827307E-01   1.893313347E+00
    76    9442.228372   8.748649E-08   1.451876E+08    2.98019E+25   1.701250536E+00  -3.825993E-01   1.893313347E+00
