       6     141      40      56

     EOS file :  Prof_B32_1.9.dat                                            

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   7.045329E+00   1.958157E+16    1.70944E+37   0.000000000E+00  -2.442116E+00   0.000000000E+00
     1     100.000001   7.032464E+00   1.954211E+16    1.70503E+37   4.117195098E-05  -2.440843E+00   2.482088797E-05
     2     116.646479   7.028110E+00   1.952875E+16    1.70354E+37   6.532731981E-05  -2.440412E+00   3.938974916E-05
     3     136.060523   7.022193E+00   1.951061E+16    1.70151E+37   1.036262508E-04  -2.439826E+00   6.249682660E-05
     4     158.698064   7.014156E+00   1.948596E+16    1.69876E+37   1.643165906E-04  -2.439030E+00   9.913020853E-05
     5     185.088268   7.003249E+00   1.945252E+16    1.69502E+37   2.604172905E-04  -2.437947E+00   1.571738327E-04
     6     215.844059   6.988461E+00   1.940719E+16    1.68996E+37   4.124340265E-04  -2.436477E+00   2.490677521E-04
     7     251.673463   6.968439E+00   1.934583E+16    1.68312E+37   6.525700051E-04  -2.434483E+00   3.943963811E-04
     8     293.391413   6.941384E+00   1.926295E+16    1.67389E+37   1.031198076E-03  -2.431781E+00   6.238963322E-04
     9     341.931291   6.904919E+00   1.915129E+16    1.66147E+37   1.626688578E-03  -2.428124E+00   9.856054448E-04
    10     398.355069   6.855940E+00   1.900140E+16    1.64484E+37   2.560083427E-03  -2.423187E+00   1.554177997E-03
    11     463.860181   6.790457E+00   1.880119E+16    1.62267E+37   4.016494305E-03  -2.416541E+00   2.444751206E-03
    12     539.780396   6.703449E+00   1.853548E+16    1.59335E+37   6.275273085E-03  -2.407625E+00   3.833089312E-03
    13     627.576940   6.588783E+00   1.818584E+16    1.55496E+37   9.750509880E-03  -2.395725E+00   5.983858946E-03
    14     728.815140   6.439279E+00   1.773093E+16    1.50531E+37   1.504146268E-02  -2.379945E+00   9.288405312E-03
    15     845.121562   6.247047E+00   1.714762E+16    1.44217E+37   2.298797890E-02  -2.359196E+00   1.431163554E-02
    16     978.117842   6.004228E+00   1.641346E+16    1.36357E+37   3.471780546E-02  -2.332207E+00   2.184371084E-02
    17    1129.331522   5.704251E+00   1.551075E+16    1.26826E+37   5.166131961E-02  -2.297571E+00   3.294561018E-02
    18    1300.092144   5.343596E+00   1.443197E+16    1.15640E+37   7.549888712E-02  -2.253848E+00   4.896904348E-02
    19    1491.432336   4.923749E+00   1.318566E+16    1.03007E+37   1.080067609E-01  -2.199727E+00   7.152437693E-02
    20    1704.025011   4.452759E+00   1.180065E+16    8.93575E+36   1.507921478E-01  -2.134225E+00   1.023723274E-01
    21    1938.192476   3.945590E+00   1.032621E+16    7.53155E+36   2.049608959E-01  -2.056903E+00   1.432335275E-01
    22    2194.014562   3.422683E+00   8.826557E+15    6.16016E+36   2.708214934E-01  -1.968020E+00   1.955444021E-01
    23    2471.540089   2.906862E+00   7.370389E+15    4.88986E+36   3.477519190E-01  -1.868587E+00   2.602236283E-01
    24    2771.077846   2.419485E+00   6.018965E+15    3.77240E+36   4.343064118E-01  -1.760283E+00   3.375269803E-01
    25    3093.523272   1.977156E+00   4.816650E+15    2.83568E+36   5.285349126E-01  -1.645258E+00   4.270446648E-01
    26    3440.673986   1.589963E+00   3.786807E+15    2.08372E+36   6.283957943E-01  -1.525878E+00   5.278436896E-01
    27    3815.500462   1.261459E+00   2.933144E+15    1.50223E+36   7.321214975E-01  -1.404470E+00   6.387070346E-01
    28    4222.359496   9.905079E-01   2.246203E+15    1.06634E+36   8.384625330E-01  -1.283130E+00   7.584120471E-01
    29    4666.911933   7.854416E-01   1.740692E+15    7.45708E+35   9.478039799E-01  -1.163604E+00   8.870540580E-01
    30    5147.749771   6.309745E-01   1.369888E+15    5.14427E+35   1.060316119E+00  -1.048927E+00   1.024201891E+00
    31    5659.871247   5.159266E-01   1.100206E+15    3.49758E+35   1.175891986E+00  -9.416651E-01   1.169072858E+00
    32    6191.893841   4.294393E-01   9.012905E+14    2.33990E+35   1.293104524E+00  -8.441649E-01   1.319300229E+00
    33    6727.092175   3.630430E-01   7.508163E+14    1.53648E+35   1.408965932E+00  -7.581739E-01   1.470561926E+00
    34    7245.147362   3.100835E-01   6.322963E+14    9.87634E+34   1.518989202E+00  -6.847230E-01   1.616504692E+00
    35    7725.817959   2.653382E-01   5.333873E+14    6.20477E+34   1.617934391E+00  -6.240060E-01   1.749608869E+00
    36    8153.802563   2.297923E-01   4.558124E+14    3.80596E+34   1.701607786E+00  -5.753038E-01   1.863572978E+00
    37    8514.041333   2.112188E-01   4.157077E+14    2.20546E+34   1.771296041E+00  -5.378309E-01   1.959092495E+00
    38    8776.882099   1.840913E-01   3.577644E+14    1.27216E+34   1.819330094E+00  -5.123345E-01   2.025488259E+00
    39    8971.298587   1.603805E-01   3.078427E+14    7.17484E+33   1.851570552E+00  -4.944520E-01   2.070467388E+00
    40    9108.514809   1.370000E-01   2.567078E+14    3.98769E+33   1.871814101E+00  -4.823311E-01   2.099022423E+00
    41    9204.893137   1.150299E-01   2.086359E+14    2.22813E+33   1.883715075E+00  -4.740718E-01   2.116282906E+00
    42    9273.656524   9.638413E-02   1.691519E+14    1.23645E+33   1.890735429E+00  -4.683125E-01   2.126770574E+00
    43    9322.004858   8.064600E-02   1.369091E+14    6.82904E+32   1.894786116E+00  -4.643320E-01   2.133008644E+00
    44    9355.634332   5.873735E-02   9.916578E+13    3.89878E+32   1.896980819E+00  -4.615979E-01   2.136456440E+00
    45    9382.485453   4.172282E-02   7.033989E+13    2.24608E+32   1.898240223E+00  -4.594361E-01   2.138436108E+00
    46    9404.520353   2.930135E-02   4.934757E+13    1.30019E+32   1.898971324E+00  -4.576766E-01   2.139584879E+00
    47    9422.857522   2.057005E-02   3.460693E+13    7.52197E+31   1.899399951E+00  -4.562226E-01   2.140258141E+00
    48    9438.093161   1.438335E-02   2.417759E+13    4.35505E+31   1.899650146E+00  -4.550216E-01   2.140651037E+00
    49    9450.794625   1.005431E-02   1.688620E+13    2.52071E+31   1.899796279E+00  -4.540253E-01   2.140880482E+00
    50    9461.373062   6.969364E-03   1.169967E+13    1.46100E+31   1.899881294E+00  -4.531990E-01   2.141013947E+00
    51    9470.258892   4.730327E-03   7.937681E+12    8.49714E+30   1.899930621E+00  -4.525074E-01   2.141091352E+00
    52    9477.902448   3.020781E-03   5.066269E+12    5.01410E+30   1.899958865E+00  -4.519142E-01   2.141135669E+00
    53    9484.989591   1.835224E-03   3.076446E+12    3.04427E+30   1.899974906E+00  -4.513657E-01   2.141160838E+00
    54    9492.093917   1.014973E-03   1.700066E+12    1.88690E+30   1.899984369E+00  -4.508173E-01   2.141175686E+00
    55    9500.081930   5.604107E-04   9.377224E+11    1.18553E+30   1.899990127E+00  -4.502024E-01   2.141184725E+00
    56    9509.205922   3.355673E-04   5.612771E+11    7.27527E+29   1.899993906E+00  -4.495021E-01   2.141190656E+00
    57    9518.591121   1.711972E-04   2.859391E+11    4.93019E+29   1.899995850E+00  -4.487843E-01   2.141193708E+00
    58    9531.112044   1.121358E-04   1.871409E+11    2.92611E+29   1.899997521E+00  -4.478304E-01   2.141196333E+00
    59    9542.520197   7.296135E-05   1.216751E+11    1.73274E+29   1.899998524E+00  -4.469650E-01   2.141197907E+00
    60    9552.954975   4.756126E-05   7.926033E+10    1.02871E+29   1.899999119E+00  -4.461766E-01   2.141198842E+00
    61    9562.502366   3.190039E-05   5.314274E+10    6.03864E+28   1.899999481E+00  -4.454578E-01   2.141199409E+00
    62    9570.891371   2.081576E-05   3.466292E+10    3.61428E+28   1.899999688E+00  -4.448283E-01   2.141199735E+00
    63    9578.613306   1.375725E-05   2.289316E+10    2.12459E+28   1.899999816E+00  -4.442505E-01   2.141199936E+00
    64    9585.506126   8.964773E-06   1.491072E+10    1.25851E+28   1.899999891E+00  -4.437361E-01   2.141200053E+00
    65    9591.791014   5.931151E-06   9.866653E+09    7.45601E+27   1.899999935E+00  -4.432681E-01   2.141200122E+00
    66    9597.431204   3.980118E-06   6.617180E+09    4.37480E+27   1.899999962E+00  -4.428491E-01   2.141200164E+00
    67    9602.376162   2.632081E-06   4.373613E+09    2.57929E+27   1.899999977E+00  -4.424824E-01   2.141200189E+00
    68    9606.795292   1.762760E-06   2.928547E+09    1.51485E+27   1.899999987E+00  -4.421552E-01   2.141200204E+00
    69    9610.677806   1.183473E-06   1.965675E+09    8.88187E+26   1.899999992E+00  -4.418682E-01   2.141200212E+00
    70    9614.074224   7.947808E-07   1.320312E+09    5.20655E+26   1.899999995E+00  -4.416175E-01   2.141200217E+00
    71    9617.042156   5.133604E-07   8.522875E+08    3.13845E+26   1.899999997E+00  -4.413986E-01   2.141200220E+00
    72    9619.816625   3.451792E-07   5.729845E+08    1.83873E+26   1.899999998E+00  -4.411942E-01   2.141200222E+00
    73    9622.236974   2.322782E-07   3.856210E+08    1.07690E+26   1.899999999E+00  -4.410161E-01   2.141200223E+00
    74    9624.345172   1.521731E-07   2.525615E+08    6.33723E+25   1.899999999E+00  -4.408610E-01   2.141200224E+00
    75    9626.240858   1.026884E-07   1.704205E+08    3.70750E+25   1.900000000E+00  -4.407217E-01   2.141200224E+00
    76    9627.885613   6.938271E-08   1.151330E+08    2.16866E+25   1.900000000E+00  -4.406009E-01   2.141200224E+00
