       6     153      52      68

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/MF_B0.dat 

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   3.320688E-01   6.813221E+14    1.10719E+35   0.000000000E+00  -5.062883E-01   0.000000000E+00
     1      10.000000   3.320687E-01   6.813218E+14    1.10719E+35   1.434848670E-09  -5.062881E-01   1.171193541E-09
     2      11.666665   3.320687E-01   6.813217E+14    1.10719E+35   2.278485786E-09  -5.062881E-01   1.859811440E-09
     3      13.611108   3.320686E-01   6.813216E+14    1.10719E+35   3.618149424E-09  -5.062880E-01   2.953310575E-09
     4      15.879623   3.320685E-01   6.813214E+14    1.10718E+35   5.745483812E-09  -5.062879E-01   4.689745437E-09
     5      18.526223   3.320684E-01   6.813212E+14    1.10718E+35   9.123608028E-09  -5.062877E-01   7.447136952E-09
     6      21.613921   3.320683E-01   6.813209E+14    1.10718E+35   1.448793552E-08  -5.062875E-01   1.182576664E-08
     7      25.216232   3.320681E-01   6.813205E+14    1.10718E+35   2.300627020E-08  -5.062873E-01   1.877885566E-08
     8      29.418922   3.320678E-01   6.813199E+14    1.10718E+35   3.653302976E-08  -5.062869E-01   2.982007589E-08
     9      34.322051   3.320675E-01   6.813191E+14    1.10717E+35   5.801293562E-08  -5.062864E-01   4.735306505E-08
    10      40.042355   3.320670E-01   6.813180E+14    1.10717E+35   9.212204179E-08  -5.062857E-01   7.519467354E-08
    11      46.716021   3.320663E-01   6.813165E+14    1.10716E+35   1.462856311E-07  -5.062847E-01   1.194058380E-07
    12      54.501928   3.320654E-01   6.813144E+14    1.10715E+35   2.322945229E-07  -5.062834E-01   1.896109275E-07
    13      63.585430   3.320642E-01   6.813117E+14    1.10714E+35   3.688715516E-07  -5.062817E-01   3.010927078E-07
    14      74.182760   3.320625E-01   6.813079E+14    1.10712E+35   5.857466952E-07  -5.062793E-01   4.781188326E-07
    15      86.546170   3.320602E-01   6.813028E+14    1.10710E+35   9.301274867E-07  -5.062760E-01   7.592236816E-07
    16     100.969922   3.320571E-01   6.812958E+14    1.10707E+35   1.476972185E-06  -5.062716E-01   1.205594628E-06
    17     117.797274   3.320528E-01   6.812864E+14    1.10702E+35   2.345299720E-06  -5.062655E-01   1.914386755E-06
    18     137.428616   3.320471E-01   6.812735E+14    1.10696E+35   3.724081794E-06  -5.062573E-01   3.039861012E-06
    19     160.330944   3.320392E-01   6.812559E+14    1.10688E+35   5.913342392E-06  -5.062461E-01   4.826939771E-06
    20     187.048892   3.320285E-01   6.812320E+14    1.10677E+35   9.389387298E-06  -5.062309E-01   7.664467918E-06
    21     218.217553   3.320140E-01   6.811995E+14    1.10662E+35   1.490831059E-05  -5.062101E-01   1.216973786E-05
    22     254.577372   3.319942E-01   6.811552E+14    1.10642E+35   2.367019585E-05  -5.061819E-01   1.932260061E-05
    23     296.991417   3.319672E-01   6.810949E+14    1.10614E+35   3.757950909E-05  -5.061435E-01   3.067818827E-05
    24     346.465351   3.319306E-01   6.810130E+14    1.10576E+35   5.965783168E-05  -5.060913E-01   4.870418925E-05
    25     404.170463   3.318807E-01   6.809014E+14    1.10525E+35   9.469762187E-05  -5.060202E-01   7.731530560E-05
    26     471.470117   3.318128E-01   6.807496E+14    1.10455E+35   1.502968191E-04  -5.059235E-01   1.227195275E-04
    27     549.949913   3.317204E-01   6.805431E+14    1.10360E+35   2.384941150E-04  -5.057919E-01   1.947567577E-04
    28     641.451814   3.315948E-01   6.802623E+14    1.10230E+35   3.783492441E-04  -5.056131E-01   3.090132292E-04
    29     748.112252   3.314240E-01   6.798804E+14    1.10055E+35   6.000049814E-04  -5.053699E-01   4.901548629E-04
    30     872.403906   3.311919E-01   6.793613E+14    1.09816E+35   9.510614131E-04  -5.050395E-01   7.771683551E-04
    31    1017.180218   3.308764E-01   6.786562E+14    1.09493E+35   1.506535149E-03  -5.045909E-01   1.231571903E-03
    32    1185.720717   3.304481E-01   6.776987E+14    1.09055E+35   2.384326334E-03  -5.039822E-01   1.950213974E-03
    33    1381.773558   3.298670E-01   6.764001E+14    1.08463E+35   3.769040094E-03  -5.031574E-01   3.085086366E-03
    34    1609.589125   3.290797E-01   6.746407E+14    1.07664E+35   5.948251009E-03  -5.020413E-01   4.873702327E-03
    35    1873.934587   3.280164E-01   6.722654E+14    1.06589E+35   9.366817558E-03  -5.005344E-01   7.685053300E-03
    36    2180.071634   3.265896E-01   6.690785E+14    1.05149E+35   1.470641217E-02  -4.985057E-01   1.208786496E-02
    37    2533.671775   3.246690E-01   6.647908E+14    1.03233E+35   2.299768467E-02  -4.957851E-01   1.894892180E-02
    38    2940.651917   3.221155E-01   6.590933E+14    1.00701E+35   3.577135639E-02  -4.921559E-01   2.956976430E-02
    39    3406.819293   3.187333E-01   6.515526E+14    9.73897E+34   5.524420181E-02  -4.873488E-01   4.586392329E-02
    40    3937.358460   3.143093E-01   6.416990E+14    9.31184E+34   8.451579585E-02  -4.810417E-01   7.056373804E-02
    41    4535.961222   3.085567E-01   6.288994E+14    8.77080E+34   1.277027299E-01  -4.728710E-01   1.074078052E-01
    42    5203.708160   3.012182E-01   6.126002E+14    8.10147E+34   1.898852405E-01  -4.624616E-01   1.612141186E-01
    43    5937.417301   2.920078E-01   5.921887E+14    7.29832E+34   2.766275244E-01  -4.494893E-01   2.376294799E-01
    44    6727.942135   2.807065E-01   5.672151E+14    6.37121E+34   3.928344272E-01  -4.337770E-01   3.422956831E-01
    45    7558.485155   2.671909E-01   5.374564E+14    5.35139E+34   5.408109193E-01  -4.154251E-01   4.791631142E-01
    46    8403.843951   2.514949E-01   5.030577E+14    4.29334E+34   7.178901408E-01  -3.949397E-01   6.480336650E-01
    47    9231.491005   2.338538E-01   4.646244E+14    3.26867E+34   9.146767966E-01  -3.732939E-01   8.420946788E-01
    48   10005.326853   2.147168E-01   4.232356E+14    2.35076E+34   1.115544615E+00  -3.518392E-01   1.047161575E+00
    49   10691.982130   1.946878E-01   3.803021E+14    1.59474E+34   1.302313649E+00  -3.320297E-01   1.244331433E+00
    50   11267.912484   1.745614E-01   3.376111E+14    1.02300E+34   1.459902293E+00  -3.150417E-01   1.415815214E+00
    51   11723.858664   1.552663E-01   2.971754E+14    6.23361E+33   1.581069922E+00  -3.014872E-01   1.551089694E+00
    52   12064.306661   1.368684E-01   2.591281E+14    3.64611E+33   1.665979748E+00  -2.913880E-01   1.647905615E+00
    53   12306.634698   1.168484E-01   2.183766E+14    2.06453E+33   1.721227367E+00  -2.842541E-01   1.711978611E+00
    54   12476.772642   9.910100E-02   1.828945E+14    1.16398E+33   1.754236825E+00  -2.792976E-01   1.750937630E+00
    55   12595.066730   7.982696E-02   1.349750E+14    6.47273E+32   1.773885836E+00  -2.758884E-01   1.774657140E+00
    56   12686.248786   5.743376E-02   9.695421E+13    3.75684E+32   1.784515134E+00  -2.732896E-01   1.788465601E+00
    57   12761.273801   4.086355E-02   6.888705E+13    2.17493E+32   1.790865993E+00  -2.711754E-01   1.796723694E+00
    58   12823.349996   2.875740E-02   4.842881E+13    1.26304E+32   1.794609445E+00  -2.694449E-01   1.801592417E+00
    59   12875.295576   2.021574E-02   3.400926E+13    7.32382E+31   1.796830479E+00  -2.680110E-01   1.804481183E+00
    60   12918.660390   1.414975E-02   2.378398E+13    4.24750E+31   1.798139643E+00  -2.668243E-01   1.806183900E+00
    61   12954.955801   9.898953E-03   1.662466E+13    2.46148E+31   1.798910558E+00  -2.658386E-01   1.807186532E+00
    62   12985.281783   6.863158E-03   1.152125E+13    1.42840E+31   1.799361852E+00  -2.650203E-01   1.807773437E+00
    63   13010.840526   4.656034E-03   7.812841E+12    8.31993E+30   1.799625041E+00  -2.643345E-01   1.808115585E+00
    64   13032.913666   2.960833E-03   4.965632E+12    4.91447E+30   1.799776617E+00  -2.637450E-01   1.808312623E+00
    65   13053.522928   1.799613E-03   3.016692E+12    2.98512E+30   1.799863148E+00  -2.631970E-01   1.808425102E+00
    66   13074.216339   9.924289E-04   1.662250E+12    1.85556E+30   1.799914178E+00  -2.626490E-01   1.808491438E+00
    67   13097.656759   5.500666E-04   9.204055E+11    1.16573E+30   1.799945581E+00  -2.620312E-01   1.808532278E+00
    68   13124.375988   2.320093E+36   5.144132E+51    7.29542E+29   1.799965610E+00  -2.613304E-01   1.808558328E+00
    69   13124.375988   2.209822E-04   3.693662E+11    6.68748E+29   1.799968421E+00  -2.613304E-01   1.808561085E+00
    70   13162.757759   1.432880E-04   2.392728E+11    3.98050E+29   1.799980992E+00  -2.603306E-01   1.808577443E+00
    71   13198.307699   9.444178E-05   1.576188E+11    2.35760E+29   1.799988630E+00  -2.594114E-01   1.808587379E+00
    72   13230.509368   6.123361E-05   1.020669E+11    1.40312E+29   1.799993177E+00  -2.585845E-01   1.808593294E+00
    73   13260.302665   4.055648E-05   6.758126E+10    8.31956E+28   1.799995929E+00  -2.578242E-01   1.808596874E+00
    74   13287.147789   2.641656E-05   4.398488E+10    4.90200E+28   1.799997592E+00  -2.571431E-01   1.808599037E+00
    75   13311.585789   1.761267E-05   2.931972E+10    2.89152E+28   1.799998579E+00  -2.565262E-01   1.808600321E+00
    76   13333.320593   1.152482E-05   1.917368E+10    1.70957E+28   1.799999165E+00  -2.559801E-01   1.808601082E+00
