       6     153      53      68

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/BSk22_test

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   5.655216E-01   1.088031E+15    2.34637E+35   0.000000000E+00  -6.708999E-01   0.000000000E+00
     1      10.000000   5.655212E-01   1.088030E+15    2.34636E+35   2.291367259E-09  -6.708996E-01   1.994571794E-09
     2      11.666665   5.655211E-01   1.088030E+15    2.34636E+35   3.638604603E-09  -6.708995E-01   3.167304900E-09
     3      13.611107   5.655209E-01   1.088029E+15    2.34636E+35   5.777965653E-09  -6.708993E-01   5.029560311E-09
     4      15.879621   5.655207E-01   1.088029E+15    2.34636E+35   9.175187541E-09  -6.708991E-01   7.986750061E-09
     5      18.526219   5.655205E-01   1.088028E+15    2.34635E+35   1.456984094E-08  -6.708989E-01   1.268265166E-08
     6      21.613915   5.655201E-01   1.088027E+15    2.34635E+35   2.313633101E-08  -6.708985E-01   2.013955607E-08
     7      25.216221   5.655196E-01   1.088026E+15    2.34634E+35   3.673955730E-08  -6.708980E-01   3.198081512E-08
     8      29.418905   5.655188E-01   1.088024E+15    2.34633E+35   5.834088464E-08  -6.708974E-01   5.078423330E-08
     9      34.322025   5.655179E-01   1.088022E+15    2.34632E+35   9.264279312E-08  -6.708964E-01   8.064322961E-08
    10      40.042312   5.655166E-01   1.088019E+15    2.34631E+35   1.471125226E-07  -6.708952E-01   1.280579173E-07
    11      46.715952   5.655148E-01   1.088015E+15    2.34629E+35   2.336075048E-07  -6.708935E-01   2.033500531E-07
    12      54.501819   5.655123E-01   1.088009E+15    2.34626E+35   3.709563210E-07  -6.708912E-01   3.229098095E-07
    13      63.585256   5.655090E-01   1.088001E+15    2.34622E+35   5.890568054E-07  -6.708881E-01   5.127633210E-07
    14      74.182482   5.655045E-01   1.087990E+15    2.34617E+35   9.353828979E-07  -6.708838E-01   8.142372820E-07
    15      86.545727   5.654984E-01   1.087976E+15    2.34610E+35   1.485315592E-06  -6.708780E-01   1.292952969E-06
    16     100.969218   5.654900E-01   1.087956E+15    2.34600E+35   2.358544438E-06  -6.708701E-01   2.053105930E-06
    17     117.796155   5.654787E-01   1.087929E+15    2.34587E+35   3.745104618E-06  -6.708593E-01   3.260136228E-06
    18     137.426837   5.654632E-01   1.087892E+15    2.34570E+35   5.946705764E-06  -6.708447E-01   5.176716350E-06
    19     160.328118   5.654421E-01   1.087842E+15    2.34545E+35   9.442323680E-06  -6.708248E-01   8.219873575E-06
    20     187.044403   5.654135E-01   1.087774E+15    2.34512E+35   1.499227780E-05  -6.707976E-01   1.305164401E-05
    21     218.210423   5.653745E-01   1.087681E+15    2.34468E+35   2.380333005E-05  -6.707607E-01   2.072291074E-05
    22     254.566050   5.653214E-01   1.087555E+15    2.34407E+35   3.779048365E-05  -6.707105E-01   3.290156064E-05
    23     296.973439   5.652492E-01   1.087383E+15    2.34324E+35   5.999190658E-05  -6.706422E-01   5.223424277E-05
    24     346.436807   5.651509E-01   1.087149E+15    2.34211E+35   9.522608112E-05  -6.705492E-01   8.291964850E-05
    25     404.125150   5.650172E-01   1.086831E+15    2.34058E+35   1.511315936E-04  -6.704227E-01   1.316163149E-04
    26     471.398195   5.648354E-01   1.086399E+15    2.33849E+35   2.398102229E-04  -6.702506E-01   2.088786964E-04
    27     549.835783   5.645881E-01   1.085811E+15    2.33566E+35   3.804187519E-04  -6.700166E-01   3.314257705E-04
    28     641.270758   5.642518E-01   1.085011E+15    2.33181E+35   6.032473582E-04  -6.696986E-01   5.257180484E-04
    29     747.825130   5.637949E-01   1.083925E+15    2.32658E+35   9.561158830E-04  -6.692664E-01   8.335830318E-04
    30     871.948813   5.631743E-01   1.082450E+15    2.31950E+35   1.514359486E-03  -6.686796E-01   1.321030884E-03
    31    1016.459379   5.623321E-01   1.080449E+15    2.30991E+35   2.396319947E-03  -6.678834E-01   2.092002357E-03
    32    1184.580005   5.611902E-01   1.077737E+15    2.29694E+35   3.787169323E-03  -6.668045E-01   3.309664973E-03
    33    1379.970653   5.596444E-01   1.074068E+15    2.27947E+35   5.975104664E-03  -6.653447E-01   5.229096112E-03
    34    1606.744425   5.575557E-01   1.069114E+15    2.25599E+35   9.405403950E-03  -6.633737E-01   8.246793660E-03
    35    1869.456327   5.547433E-01   1.062474E+15    2.22459E+35   1.475925551E-02  -6.607203E-01   1.297432223E-02
    36    2173.037728   5.509681E-01   1.053589E+15    2.18287E+35   2.306456381E-02  -6.571619E-01   2.034482336E-02
    37    2522.670448   5.459226E-01   1.041745E+15    2.12788E+35   3.584333926E-02  -6.524148E-01   3.176157174E-02
    38    2923.538549   5.392284E-01   1.026138E+15    2.05620E+35   5.529246923E-02  -6.461259E-01   4.929294882E-02
    39    3380.393989   5.304182E-01   1.005740E+15    1.96414E+35   8.446857766E-02  -6.378719E-01   7.590206515E-02
    40    3896.944720   5.189522E-01   9.794356E+14    1.84816E+35   1.274141275E-01  -6.271714E-01   1.156706204E-01
    41    4474.958291   5.042498E-01   9.461317E+14    1.70564E+35   1.890908228E-01  -6.135213E-01   1.739109593E-01
    42    5113.090938   4.857408E-01   9.048344E+14    1.53598E+35   2.749208982E-01  -5.964687E-01   2.569718507E-01
    43    5805.615853   4.629781E-01   8.549939E+14    1.34189E+35   3.897344757E-01  -5.757250E-01   3.714688051E-01
    44    6541.204425   4.357725E-01   7.967586E+14    1.13033E+35   5.360533143E-01  -5.513164E-01   5.226654725E-01
    45    7302.273328   4.043333E-01   7.311762E+14    9.12590E+34   7.120463149E-01  -5.237369E-01   7.120174819E-01
    46    8065.467685   3.693752E-01   6.603006E+14    7.02663E+34   9.100571779E-01  -4.940335E-01   9.345406268E-01
    47    8803.633992   3.320955E-01   5.869339E+14    5.14270E+34   1.116867747E+00  -4.637454E-01   1.177440517E+00
    48    9489.299044   2.940098E-01   5.141522E+14    3.57433E+34   1.316291448E+00  -4.346528E-01   1.421623211E+00
    49   10098.883609   2.566694E-01   4.447236E+14    2.36296E+34   1.493357949E+00  -4.083963E-01   1.646427700E+00
    50   10616.454601   2.213824E-01   3.806819E+14    1.49179E+34   1.638147730E+00  -3.861184E-01   1.835634506E+00
    51   11035.870924   1.890164E-01   3.231079E+14    9.04737E+33   1.747504981E+00  -3.682836E-01   1.981566646E+00
    52   11360.812776   1.599747E-01   2.722622E+14    5.30945E+33   1.824239872E+00  -3.547236E-01   2.085394693E+00
    53   11602.619409   1.342704E-01   2.277927E+14    3.03889E+33   1.874693252E+00  -3.448432E-01   2.154231743E+00
    54   11776.823207   1.116881E-01   1.890590E+14    1.70957E+33   1.906120498E+00  -3.378673E-01   2.197303343E+00
    55   11899.573082   9.207399E-02   1.556142E+14    9.51506E+32   1.924903135E+00  -3.330372E-01   2.223100589E+00
    56   11984.952195   7.074513E-02   1.195479E+14    5.30168E+32   1.935708813E+00  -3.297253E-01   2.237952322E+00
    57   12048.116863   5.076653E-02   8.564715E+13    3.06387E+32   1.941596206E+00  -3.273039E-01   2.246041209E+00
    58   12099.825620   3.582541E-02   6.037056E+13    1.77440E+32   1.945060129E+00  -3.253422E-01   2.250802153E+00
    59   12142.836008   2.518066E-02   4.238892E+13    1.02847E+32   1.947100099E+00  -3.237257E-01   2.253605705E+00
    60   12178.711332   1.765721E-02   2.969538E+13    5.95657E+31   1.948302068E+00  -3.223884E-01   2.255257450E+00
    61   12208.631089   1.235108E-02   2.075388E+13    3.45120E+31   1.949006955E+00  -3.212811E-01   2.256225996E+00
    62   12233.617539   8.626811E-03   1.448420E+13    1.99886E+31   1.949420098E+00  -3.203620E-01   2.256793649E+00
    63   12254.481079   5.962167E-03   1.000778E+13    1.16159E+31   1.949660489E+00  -3.195985E-01   2.257123867E+00
    64   12272.118645   4.006188E-03   6.720976E+12    6.81087E+30   1.949799524E+00  -3.189560E-01   2.257314801E+00
    65   12287.583964   2.468110E-03   4.138555E+12    4.09567E+30   1.949878610E+00  -3.183947E-01   2.257423404E+00
    66   12302.742208   1.474467E-03   2.471079E+12    2.49276E+30   1.949925581E+00  -3.178465E-01   2.257487902E+00
    67   12318.248215   7.979798E-04   1.336059E+12    1.57268E+30   1.949952702E+00  -3.172877E-01   2.257525151E+00
    68   12336.404021   4.556087E-04   7.622820E+11    9.83155E+29   1.949970192E+00  -3.166360E-01   2.257549182E+00
    69   12356.379487   2.065812E-04   3.451781E+11    6.11901E+29   1.949981287E+00  -3.159222E-01   2.257564425E+00
    70   12383.948457   1.334245E-04   2.228057E+11    3.65161E+29   1.949988728E+00  -3.149424E-01   2.257574653E+00
    71   12409.604579   8.760142E-05   1.461771E+11    2.15726E+29   1.949993283E+00  -3.140363E-01   2.257580912E+00
    72   12432.849020   5.682997E-05   9.472018E+10    1.28268E+29   1.949995975E+00  -3.132199E-01   2.257584612E+00
    73   12454.295854   3.781287E-05   6.300508E+10    7.57729E+28   1.949997606E+00  -3.124706E-01   2.257586852E+00
    74   12473.440516   2.441419E-05   4.064629E+10    4.46978E+28   1.949998579E+00  -3.118048E-01   2.257588189E+00
    75   12491.025276   1.637773E-05   2.725776E+10    2.62383E+28   1.949999161E+00  -3.111959E-01   2.257588988E+00
    76   12506.482639   1.070420E-05   1.780553E+10    1.55695E+28   1.949999499E+00  -3.106626E-01   2.257589453E+00
