       6     157      57      72

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/BSk22_test

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   7.735492E+00   1.222547E+17    3.04923E+38   0.000000000E+00  -4.325468E+00   0.000000000E+00
     1      10.000000   7.734792E+00   1.222325E+17    3.04847E+38   2.574329536E-07  -4.325285E+00   2.728163844E-08
     2      11.666488   7.734546E+00   1.222247E+17    3.04820E+38   4.087620586E-07  -4.325221E+00   4.331993151E-08
     3      13.610643   7.734211E+00   1.222140E+17    3.04784E+38   6.490304462E-07  -4.325134E+00   6.878565039E-08
     4      15.878689   7.733755E+00   1.221996E+17    3.04735E+38   1.030488609E-06  -4.325015E+00   1.092188744E-07
     5      18.524522   7.733134E+00   1.221799E+17    3.04667E+38   1.636059075E-06  -4.324853E+00   1.734136815E-07
     6      21.610976   7.732290E+00   1.221531E+17    3.04576E+38   2.597313245E-06  -4.324632E+00   2.753274796E-07
     7      25.211277   7.731141E+00   1.221166E+17    3.04452E+38   4.122951734E-06  -4.324333E+00   4.371084348E-07
     8      29.410737   7.729579E+00   1.220671E+17    3.04283E+38   6.543887358E-06  -4.323925E+00   6.938931721E-07
     9      34.308691   7.727454E+00   1.219997E+17    3.04054E+38   1.038452782E-05  -4.323371E+00   1.101404347E-06
    10      40.020725   7.724567E+00   1.219082E+17    3.03742E+38   1.647530878E-05  -4.322617E+00   1.747970105E-06
    11      46.681205   7.720644E+00   1.217838E+17    3.03318E+38   2.612997238E-05  -4.321592E+00   2.773513363E-06
    12      54.446128   7.715317E+00   1.216151E+17    3.02744E+38   4.142403795E-05  -4.320200E+00   4.399497639E-06
    13      63.496289   7.708092E+00   1.213865E+17    3.01966E+38   6.563050996E-05  -4.318311E+00   6.976033879E-06
    14      74.040726   7.698302E+00   1.210770E+17    3.00915E+38   1.038979635E-04  -4.315749E+00   1.105573353E-05
    15      86.320366   7.685059E+00   1.206591E+17    2.99495E+38   1.642981529E-04  -4.312279E+00   1.750896737E-05
    16     100.611696   7.667183E+00   1.200960E+17    2.97587E+38   2.594284405E-04  -4.307588E+00   2.770264156E-05
    17     117.230194   7.643127E+00   1.193404E+17    2.95030E+38   4.088296492E-04  -4.301261E+00   4.377520977E-05
    18     136.533076   7.610877E+00   1.183312E+17    2.91625E+38   6.425666041E-04  -4.292753E+00   6.905506336E-05
    19     158.920739   7.567866E+00   1.169919E+17    2.87122E+38   1.006395430E-03  -4.281362E+00   1.086877235E-04
    20     184.836062   7.510893E+00   1.152296E+17    2.81227E+38   1.568958290E-03  -4.266193E+00   1.705578794E-04
    21     214.760625   7.436087E+00   1.129361E+17    2.73603E+38   2.431307640E-03  -4.246135E+00   2.666107574E-04
    22     249.206944   7.338966E+00   1.099931E+17    2.63903E+38   3.738624114E-03  -4.219851E+00   4.146846240E-04
    23     288.706383   7.214645E+00   1.062827E+17    2.51810E+38   5.693101119E-03  -4.185798E+00   6.409491889E-04
    24     333.793472   7.058235E+00   1.017054E+17    2.37104E+38   8.565589832E-03  -4.142284E+00   9.829905916E-04
    25     384.989155   6.865465E+00   9.620317E+16    2.19745E+38   1.270204122E-02  -4.087588E+00   1.493492442E-03
    26     442.787350   6.633452E+00   8.978460E+16    1.99953E+38   1.851989283E-02  -4.020121E+00   2.244362619E-03
    27     507.650172   6.361461E+00   8.254331E+16    1.78240E+38   2.649051667E-02  -3.938620E+00   3.331108057E-03
    28     580.016099   6.051432E+00   7.466207E+16    1.55392E+38   3.710734841E-02  -3.842324E+00   4.877327185E-03
    29     660.321987   5.708072E+00   6.639679E+16    1.32367E+38   5.084443703E-02  -3.731092E+00   7.039376330E-03
    30     749.035762   5.338453E+00   5.804330E+16    1.10142E+38   6.811433379E-02  -3.605434E+00   1.001148586E-02
    31     846.694072   4.951209E+00   4.989601E+16    8.95698E+37   8.923501385E-02  -3.466453E+00   1.403173088E-02
    32     953.939741   4.555569E+00   4.221057E+16    7.12620E+37   1.144125686E-01  -3.315723E+00   1.938924787E-02
    33    1071.556760   4.160457E+00   3.517898E+16    5.55492E+37   1.437416806E-01  -3.155145E+00   2.643300011E-02
    34    1200.503847   3.773808E+00   2.892017E+16    4.24984E+37   1.772218124E-01  -2.986803E+00   3.558236236E-02
    35    1341.949658   3.402154E+00   2.348372E+16    3.19706E+37   2.147847887E-01  -2.812846E+00   4.733992142E-02
    36    1497.313066   3.050464E+00   1.886201E+16    2.36943E+37   2.563288643E-01  -2.635391E+00   6.230720527E-02
    37    1668.310906   2.722160E+00   1.500595E+16    1.73328E+37   3.017547237E-01  -2.456454E+00   8.120452935E-02
    38    1857.013880   2.419267E+00   1.184045E+16    1.25376E+37   3.509996252E-01  -2.277894E+00   1.048967118E-01
    39    2065.909515   2.142617E+00   9.277729E+15    8.98284E+36   4.040668388E-01  -2.101377E+00   1.344269688E-01
    40    2297.969551   1.892072E+00   7.232558E+15    6.38463E+36   4.610566723E-01  -1.928351E+00   1.710617551E-01
    41    2556.593754   1.666291E+00   5.659718E+15    4.50465E+36   5.223986053E-01  -1.760068E+00   2.163275491E-01
    42    2844.085759   1.463623E+00   4.460435E+15    3.15652E+36   5.886793998E-01  -1.598256E+00   2.717501248E-01
    43    3161.690615   1.282233E+00   3.542689E+15    2.19726E+36   6.603358993E-01  -1.444553E+00   3.387444363E-01
    44    3509.487226   1.120148E+00   2.835985E+15    1.51892E+36   7.375627541E-01  -1.300308E+00   4.184269622E-01
    45    3886.009849   9.754775E-01   2.287343E+15    1.04184E+36   8.201542313E-01  -1.166602E+00   5.113035614E-01
    46    4287.919048   8.465086E-01   1.857674E+15    7.08111E+35   9.073556553E-01  -1.044271E+00   6.169050044E-01
    47    4709.704257   7.317619E-01   1.517797E+15    4.76069E+35   9.977296005E-01  -9.339280E-01   7.334249160E-01
    48    5143.592353   6.299618E-01   1.246469E+15    3.15926E+35   1.089109675E+00  -8.359572E-01   8.575040233E-01
    49    5579.549145   5.400145E-01   1.027968E+15    2.06453E+35   1.178658806E+00  -7.505216E-01   9.842490854E-01
    50    6005.634072   4.609482E-01   8.506025E+14    1.32534E+35   1.263107987E+00  -6.775407E-01   1.107649827E+00
    51    6408.808037   3.918607E-01   7.056499E+14    8.33880E+34   1.339189337E+00  -6.166592E-01   1.221424147E+00
    52    6776.267986   3.318819E-01   5.865195E+14    5.13293E+34   1.404195904E+00  -5.672211E-01   1.320151563E+00
    53    7097.274620   2.801469E-01   4.881636E+14    3.08823E+34   1.456539690E+00  -5.282591E-01   1.400378779E+00
    54    7365.063262   2.357823E-01   4.066459E+14    1.81672E+34   1.496088620E+00  -4.985204E-01   1.461260984E+00
    55    7578.116723   1.978945E-01   3.387998E+14    1.04689E+34   1.524101382E+00  -4.765446E-01   1.504432065E+00
    56    7740.137079   1.655845E-01   2.820303E+14    5.92832E+33   1.542762280E+00  -4.607899E-01   1.533167420E+00
    57    7858.612594   1.379751E-01   2.341752E+14    3.31263E+33   1.554537535E+00  -4.497799E-01   1.551268911E+00
    58    7942.679124   1.142759E-01   1.934842E+14    1.83471E+33   1.561645539E+00  -4.422263E-01   1.562174752E+00
    59    8001.194114   9.395667E-02   1.588178E+14    1.01118E+33   1.565796399E+00  -4.370955E-01   1.568532236E+00
    60    8041.529516   7.306319E-02   1.234847E+14    5.59179E+32   1.568150329E+00  -4.336198E-01   1.572131793E+00
    61    8070.735322   5.233006E-02   8.829813E+13    3.22135E+32   1.569413183E+00  -4.311348E-01   1.574059610E+00
    62    8094.563538   3.693206E-02   6.224095E+13    1.85989E+32   1.570151312E+00  -4.291275E-01   1.575186056E+00
    63    8114.282794   2.593493E-02   4.366242E+13    1.07652E+32   1.570582237E+00  -4.274803E-01   1.575843349E+00
    64    8130.692536   1.818087E-02   3.057819E+13    6.22842E+31   1.570834845E+00  -4.261192E-01   1.576228524E+00
    65    8144.346223   1.271143E-02   2.136085E+13    3.60613E+31   1.570982346E+00  -4.249935E-01   1.576453374E+00
    66    8155.729878   8.884696E-03   1.491749E+13    2.08726E+31   1.571068509E+00  -4.240596E-01   1.576584704E+00
    67    8165.211581   6.138715E-03   1.030433E+13    1.21247E+31   1.571118486E+00  -4.232850E-01   1.576660860E+00
    68    8173.217981   4.131843E-03   6.932080E+12    7.09675E+30   1.571147381E+00  -4.226332E-01   1.576704876E+00
    69    8180.207813   2.559831E-03   4.292505E+12    4.24807E+30   1.571163834E+00  -4.220660E-01   1.576729937E+00
    70    8186.984236   1.546011E-03   2.591162E+12    2.58241E+30   1.571173497E+00  -4.215175E-01   1.576744655E+00
    71    8193.827130   8.351431E-04   1.398411E+12    1.62912E+30   1.571179051E+00  -4.209652E-01   1.576753116E+00
    72    8201.846693   4.749097E-04   7.945910E+11    1.02073E+30   1.571182612E+00  -4.203199E-01   1.576758543E+00
    73    8210.717319   2.146751E-04   3.587025E+11    6.36501E+29   1.571184873E+00  -4.196085E-01   1.576761988E+00
    74    8223.007828   1.380771E-04   2.305731E+11    3.80614E+29   1.571186388E+00  -4.186271E-01   1.576764299E+00
    75    8234.499731   9.078458E-05   1.515012E+11    2.25015E+29   1.571187317E+00  -4.177138E-01   1.576765715E+00
    76    8244.889306   5.885616E-05   9.810046E+10    1.33787E+29   1.571187866E+00  -4.168918E-01   1.576766551E+00
