       6     153      52      68

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/MF_B32.dat

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   3.590246E-01   7.417731E+14    1.49144E+35   0.000000000E+00  -6.116263E-01   0.000000000E+00
     1      10.000000   3.590244E-01   7.417728E+14    1.49143E+35   1.562157027E-09  -6.116261E-01   1.266265402E-09
     2      11.666665   3.590244E-01   7.417727E+14    1.49143E+35   2.480646677E-09  -6.116260E-01   2.010782004E-09
     3      13.611108   3.590243E-01   7.417725E+14    1.49143E+35   3.939173293E-09  -6.116259E-01   3.193046175E-09
     4      15.879623   3.590242E-01   7.417723E+14    1.49143E+35   6.255257534E-09  -6.116258E-01   5.070436555E-09
     5      18.526224   3.590241E-01   7.417720E+14    1.49143E+35   9.933109188E-09  -6.116256E-01   8.051660060E-09
     6      21.613922   3.590239E-01   7.417716E+14    1.49143E+35   1.577339202E-08  -6.116254E-01   1.278572633E-08
     7      25.216233   3.590237E-01   7.417711E+14    1.49143E+35   2.504752458E-08  -6.116251E-01   2.030323475E-08
     8      29.418924   3.590233E-01   7.417703E+14    1.49142E+35   3.977445979E-08  -6.116246E-01   3.224073055E-08
     9      34.322055   3.590229E-01   7.417693E+14    1.49142E+35   6.316019276E-08  -6.116240E-01   5.119696876E-08
    10      40.042362   3.590223E-01   7.417680E+14    1.49141E+35   1.002956659E-07  -6.116232E-01   8.129863681E-08
    11      46.716032   3.590215E-01   7.417661E+14    1.49140E+35   1.592649796E-07  -6.116221E-01   1.290986765E-07
    12      54.501946   3.590204E-01   7.417636E+14    1.49139E+35   2.529051095E-07  -6.116205E-01   2.050027332E-07
    13      63.585460   3.590188E-01   7.417602E+14    1.49137E+35   4.016001011E-07  -6.116185E-01   3.255341892E-07
    14      74.182807   3.590168E-01   7.417555E+14    1.49135E+35   6.377177742E-07  -6.116156E-01   5.169307062E-07
    15      86.546244   3.590139E-01   7.417492E+14    1.49132E+35   1.012654241E-06  -6.116118E-01   8.208548645E-07
    16     100.970040   3.590101E-01   7.417406E+14    1.49127E+35   1.608018599E-06  -6.116065E-01   1.303461292E-06
    17     117.797463   3.590049E-01   7.417288E+14    1.49122E+35   2.553390057E-06  -6.115994E-01   2.069792427E-06
    18     137.428917   3.589978E-01   7.417128E+14    1.49114E+35   4.054507462E-06  -6.115897E-01   3.286633054E-06
    19     160.331423   3.589881E-01   7.416911E+14    1.49103E+35   6.438015685E-06  -6.115765E-01   5.218790782E-06
    20     187.049653   3.589749E-01   7.416615E+14    1.49088E+35   1.022248329E-05  -6.115586E-01   8.286682875E-06
    21     218.218762   3.589570E-01   7.416212E+14    1.49068E+35   1.623109406E-05  -6.115341E-01   1.315772748E-05
    22     254.579294   3.589327E-01   7.415664E+14    1.49041E+35   2.577041994E-05  -6.115008E-01   2.089135174E-05
    23     296.994470   3.588995E-01   7.414917E+14    1.49004E+35   4.091392368E-05  -6.114555E-01   3.316900490E-05
    24     346.470201   3.588543E-01   7.413902E+14    1.48954E+35   6.495132520E-05  -6.113939E-01   5.265886119E-05
    25     404.178167   3.587929E-01   7.412520E+14    1.48885E+35   1.031003976E-04  -6.113101E-01   8.359376841E-05
    26     471.482351   3.587093E-01   7.410640E+14    1.48792E+35   1.636334300E-04  -6.111960E-01   1.326864491E-04
    27     549.969342   3.585956E-01   7.408083E+14    1.48666E+35   2.596577267E-04  -6.110408E-01   2.105772856E-04
    28     641.482666   3.584410E-01   7.404605E+14    1.48494E+35   4.119251329E-04  -6.108298E-01   3.341214514E-04
    29     748.161241   3.582307E-01   7.399877E+14    1.48260E+35   6.532550896E-04  -6.105430E-01   5.299951762E-04
    30     872.481685   3.579450E-01   7.393451E+14    1.47943E+35   1.035475899E-03  -6.101532E-01   8.403672968E-04
    31    1017.303696   3.575568E-01   7.384724E+14    1.47513E+35   1.640270748E-03  -6.096239E-01   1.331787320E-03
    32    1185.916719   3.570299E-01   7.372878E+14    1.46930E+35   2.596024088E-03  -6.089057E-01   2.109046510E-03
    33    1382.084627   3.563209E-01   7.356938E+14    1.46142E+35   4.103782312E-03  -6.079323E-01   3.336657167E-03
    34    1610.079500   3.553631E-01   7.335409E+14    1.45079E+35   6.476769051E-03  -6.066151E-01   5.271801326E-03
    35    1874.704985   3.540683E-01   7.306313E+14    1.43651E+35   1.019959191E-02  -6.048361E-01   8.314244685E-03
    36    2181.283548   3.523221E-01   7.267088E+14    1.41738E+35   1.601496161E-02  -6.024404E-01   1.308059123E-02
    37    2535.587992   3.499946E-01   7.214827E+14    1.39191E+35   2.504666464E-02  -5.992261E-01   2.051198622E-02
    38    2943.664875   3.468858E-01   7.145066E+14    1.35829E+35   3.896441670E-02  -5.949357E-01   3.202361594E-02
    39    3411.570824   3.427706E-01   7.052796E+14    1.31435E+35   6.018917966E-02  -5.892475E-01   4.970155684E-02
    40    3944.855173   3.373822E-01   6.932105E+14    1.25771E+35   9.211202139E-02  -5.817749E-01   7.653559330E-02
    41    4547.788310   3.304319E-01   6.776625E+14    1.18603E+35   1.392571037E-01  -5.720763E-01   1.166455433E-01
    42    5222.235023   3.215599E-01   6.578541E+14    1.09745E+35   2.072402216E-01  -5.596887E-01   1.753911232E-01
    43    5966.318991   3.104732E-01   6.331618E+14    9.91244E+34   3.023035994E-01  -5.441921E-01   2.591767076E-01
    44    6772.655251   2.968774E-01   6.029748E+14    8.68720E+34   4.301407638E-01  -5.253186E-01   3.746462691E-01
    45    7626.989906   2.805818E-01   5.669400E+14    7.33916E+34   5.939002269E-01  -5.030940E-01   5.270037048E-01
    46    8507.503237   2.614995E-01   5.249622E+14    5.93855E+34   7.916393878E-01  -4.779832E-01   7.174118686E-01
    47    9385.943744   2.395161E-01   4.769333E+14    4.57808E+34   1.014260461E+00  -4.509673E-01   9.401370655E-01
    48   10231.850127   2.266866E-01   4.490843E+14    3.32987E+34   1.250527586E+00  -4.234120E-01   1.185941328E+00
    49   10971.322225   2.126972E-01   4.188875E+14    2.26404E+34   1.480821783E+00  -3.981956E-01   1.434116244E+00
    50   11574.489342   1.907819E-01   3.719782E+14    1.46812E+34   1.672455524E+00  -3.769676E-01   1.648220714E+00
    51   12057.982202   1.695727E-01   3.271078E+14    9.03726E+33   1.821784716E+00  -3.597136E-01   1.820316530E+00
    52   12424.034734   1.502266E-01   2.867000E+14    5.32880E+33   1.928140347E+00  -3.466339E-01   1.946003475E+00
    53   12686.266055   1.320398E-01   2.492348E+14    3.04719E+33   1.997985197E+00  -3.373208E-01   2.030189308E+00
    54   12867.141948   1.101325E-01   2.048743E+14    1.72171E+33   2.040638524E+00  -3.309564E-01   2.082464178E+00
    55   12995.755546   9.489581E-02   1.745837E+14    9.52862E+32   2.066350415E+00  -3.264785E-01   2.114477015E+00
    56   13081.450863   7.055577E-02   1.192263E+14    5.27825E+32   2.080975591E+00  -3.235233E-01   2.133046183E+00
    57   13152.130321   5.065460E-02   8.545739E+13    3.05272E+32   2.088805689E+00  -3.211092E-01   2.143732049E+00
    58   13210.004724   3.575365E-02   6.024928E+13    1.76890E+32   2.093416169E+00  -3.191518E-01   2.150027775E+00
    59   13258.160916   2.513501E-02   4.231183E+13    1.02559E+32   2.096133566E+00  -3.175379E-01   2.153738607E+00
    60   13298.335277   1.762697E-02   2.964439E+13    5.94099E+31   2.097735469E+00  -3.162023E-01   2.155926134E+00
    61   13331.846164   1.233090E-02   2.071988E+13    3.44259E+31   2.098675267E+00  -3.150962E-01   2.157209417E+00
    62   13359.835224   8.612665E-03   1.446043E+13    1.99404E+31   2.099226260E+00  -3.141781E-01   2.157961783E+00
    63   13383.209928   5.952610E-03   9.991727E+12    1.15885E+31   2.099546946E+00  -3.134152E-01   2.158399575E+00
    64   13402.972193   3.999453E-03   6.709660E+12    6.79563E+30   2.099732439E+00  -3.127732E-01   2.158652735E+00
    65   13420.305087   2.463235E-03   4.130374E+12    4.08757E+30   2.099837952E+00  -3.122122E-01   2.158796734E+00
    66   13437.304281   1.470705E-03   2.464764E+12    2.48802E+30   2.099900660E+00  -3.116641E-01   2.158882311E+00
    67   13454.705948   7.960310E-04   1.332789E+12    1.56970E+30   2.099936878E+00  -3.111050E-01   2.158931748E+00
    68   13475.080773   4.545981E-04   7.605904E+11    9.81183E+29   2.099960244E+00  -3.104529E-01   2.158963654E+00
    69   13497.491804   2.061583E-04   3.444714E+11    6.10617E+29   2.099975066E+00  -3.097390E-01   2.158983891E+00
    70   13528.416675   1.331821E-04   2.224010E+11    3.64359E+29   2.099985008E+00  -3.087593E-01   2.158997472E+00
    71   13557.189847   8.743654E-05   1.459013E+11    2.15247E+29   2.099991094E+00  -3.078536E-01   2.159005784E+00
    72   13583.262316   5.672544E-05   9.454580E+10    1.27984E+29   2.099994691E+00  -3.070376E-01   2.159010697E+00
    73   13607.320034   3.774855E-05   6.289779E+10    7.56009E+28   2.099996870E+00  -3.062885E-01   2.159013674E+00
    74   13628.793057   2.437560E-05   4.058214E+10    4.46037E+28   2.099998170E+00  -3.056232E-01   2.159015449E+00
    75   13648.518848   1.635219E-05   2.721513E+10    2.61837E+28   2.099998949E+00  -3.050145E-01   2.159016511E+00
    76   13665.859646   1.068743E-05   1.777757E+10    1.55386E+28   2.099999402E+00  -3.044816E-01   2.159017130E+00
