       6     154      53      69

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/nl3wr_test

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   4.001278E-01   7.462983E+14    1.70488E+35   0.000000000E+00  -6.678015E-01   0.000000000E+00
     1      10.000000   4.001277E-01   7.462980E+14    1.70488E+35   1.571687072E-09  -6.678013E-01   1.411234925E-09
     2      11.666665   4.001276E-01   7.462979E+14    1.70488E+35   2.495780068E-09  -6.678012E-01   2.240988218E-09
     3      13.611108   4.001275E-01   7.462977E+14    1.70487E+35   3.963204628E-09  -6.678011E-01   3.558605090E-09
     4      15.879624   4.001275E-01   7.462975E+14    1.70487E+35   6.293418550E-09  -6.678010E-01   5.650930533E-09
     5      18.526224   4.001273E-01   7.462973E+14    1.70487E+35   9.993707782E-09  -6.678008E-01   8.973462926E-09
     6      21.613922   4.001272E-01   7.462969E+14    1.70487E+35   1.586962102E-08  -6.678005E-01   1.424951501E-08
     7      25.216234   4.001270E-01   7.462964E+14    1.70487E+35   2.520033412E-08  -6.678002E-01   2.262767668E-08
     8      29.418926   4.001267E-01   7.462957E+14    1.70486E+35   4.001711882E-08  -6.677997E-01   3.593185766E-08
     9      34.322058   4.001263E-01   7.462948E+14    1.70486E+35   6.354553312E-08  -6.677991E-01   5.705834065E-08
    10      40.042367   4.001257E-01   7.462935E+14    1.70485E+35   1.009075868E-07  -6.677982E-01   9.060627562E-08
    11      46.716039   4.001250E-01   7.462918E+14    1.70484E+35   1.602367190E-07  -6.677970E-01   1.438788565E-07
    12      54.501958   4.001240E-01   7.462894E+14    1.70483E+35   2.544482642E-07  -6.677954E-01   2.284730991E-07
    13      63.585479   4.001226E-01   7.462862E+14    1.70481E+35   4.040507219E-07  -6.677932E-01   3.628042343E-07
    14      74.182837   4.001207E-01   7.462818E+14    1.70478E+35   6.416095895E-07  -6.677902E-01   5.761140995E-07
    15      86.546292   4.001182E-01   7.462759E+14    1.70475E+35   1.018834991E-06  -6.677861E-01   9.148357760E-07
    16     100.970117   4.001147E-01   7.462678E+14    1.70470E+35   1.617834898E-06  -6.677805E-01   1.452699228E-06
    17     117.797584   4.001100E-01   7.462568E+14    1.70464E+35   2.568981209E-06  -6.677730E-01   2.306776158E-06
    18     137.429109   4.001036E-01   7.462418E+14    1.70455E+35   4.079272620E-06  -6.677627E-01   3.662953176E-06
    19     160.331728   4.000949E-01   7.462214E+14    1.70443E+35   6.477356936E-06  -6.677487E-01   5.816370466E-06
    20     187.050138   4.000831E-01   7.461936E+14    1.70427E+35   1.028498837E-05  -6.677296E-01   9.235611368E-06
    21     218.219532   4.000669E-01   7.461558E+14    1.70405E+35   1.633042030E-05  -6.677037E-01   1.466457799E-05
    22     254.580516   4.000449E-01   7.461043E+14    1.70376E+35   2.592829864E-05  -6.676683E-01   2.328414687E-05
    23     296.996411   4.000150E-01   7.460343E+14    1.70335E+35   4.116495822E-05  -6.676203E-01   3.696861505E-05
    24     346.473282   3.999743E-01   7.459390E+14    1.70280E+35   6.535066938E-05  -6.675549E-01   5.869237168E-05
    25     404.183058   3.999189E-01   7.458093E+14    1.70205E+35   1.037360757E-04  -6.674659E-01   9.317447848E-05
    26     471.490117   3.998436E-01   7.456329E+14    1.70103E+35   1.646461753E-04  -6.673449E-01   1.478996520E-04
    27     549.981668   3.997410E-01   7.453929E+14    1.69965E+35   2.612730738E-04  -6.671802E-01   2.347339638E-04
    28     641.502228   3.996016E-01   7.450665E+14    1.69777E+35   4.145056484E-04  -6.669563E-01   3.724784795E-04
    29     748.192281   3.994120E-01   7.446228E+14    1.69521E+35   6.573860330E-04  -6.666519E-01   5.908984304E-04
    30     872.530924   3.991542E-01   7.440197E+14    1.69174E+35   1.042107065E-03  -6.662382E-01   9.370656580E-04
    31    1017.381773   3.988005E-01   7.431982E+14    1.68703E+35   1.650953449E-03  -6.656764E-01   1.485308792E-03
    32    1186.040904   3.983178E-01   7.420816E+14    1.68065E+35   2.613313734E-03  -6.649140E-01   2.352754049E-03
    33    1382.282405   3.976631E-01   7.405675E+14    1.67202E+35   4.131924667E-03  -6.638805E-01   3.723466453E-03
    34    1610.397349   3.967760E-01   7.385169E+14    1.66038E+35   6.522910022E-03  -6.624816E-01   5.885607323E-03
    35    1875.217036   3.955894E-01   7.357721E+14    1.64472E+35   1.027600493E-02  -6.605917E-01   9.288034236E-03
    36    2182.096170   3.939931E-01   7.320816E+14    1.62374E+35   1.614293136E-02  -6.580456E-01   1.462487818E-02
    37    2536.863543   3.918703E-01   7.271729E+14    1.59579E+35   2.526371791E-02  -6.546277E-01   2.295960891E-02
    38    2945.652791   3.890648E-01   7.206853E+14    1.55885E+35   3.933789106E-02  -6.500620E-01   3.589993020E-02
    39    3414.615452   3.853692E-01   7.121621E+14    1.51048E+35   6.084059983E-02  -6.440032E-01   5.583267416E-02
    40    3949.439578   3.803725E-01   7.008495E+14    1.44802E+35   9.325573917E-02  -6.360337E-01   8.620563162E-02
    41    4554.740023   3.739896E-01   6.864378E+14    1.36874E+35   1.412826074E-01  -6.256711E-01   1.318410487E-01
    42    5232.587281   3.657656E-01   6.681258E+14    1.27037E+35   2.108364448E-01  -6.124053E-01   1.991376829E-01
    43    5981.438361   3.555182E-01   6.455822E+14    1.15183E+35   3.086361537E-01  -5.957608E-01   2.959429883E-01
    44    6793.900126   3.428577E-01   6.182914E+14    1.01415E+35   4.410796756E-01  -5.754202E-01   4.307770281E-01
    45    7655.366412   3.276342E-01   5.862295E+14    8.61306E+34   6.122495807E-01  -5.513750E-01   6.109912053E-01
    46    8542.579576   3.099403E-01   5.498959E+14    7.00617E+34   8.212022799E-01  -5.241076E-01   8.396525257E-01
    47    9423.626387   2.899642E-01   5.100206E+14    5.42236E+34   1.059299326E+00  -4.947266E-01   1.111453348E+00
    48   10260.885175   2.680665E-01   4.675912E+14    3.97136E+34   1.309837880E+00  -4.649305E-01   1.410183627E+00
    49   11016.838374   2.447519E-01   4.237054E+14    2.74488E+34   1.550850047E+00  -4.367284E-01   1.709780854E+00
    50   11661.881333   2.203819E-01   3.790578E+14    1.79212E+34   1.761409029E+00  -4.119451E-01   1.981281108E+00
    51   12181.641021   1.957541E-01   3.349318E+14    1.11094E+34   1.928325665E+00  -3.917036E-01   2.202890723E+00
    52   12578.161060   1.714490E-01   2.921472E+14    6.59817E+33   2.048980479E+00  -3.762442E-01   2.366499736E+00
    53   12867.030572   1.477454E-01   2.509718E+14    3.79651E+33   2.129449561E+00  -3.650588E-01   2.477139487E+00
    54   13070.845991   1.245102E-01   2.109931E+14    2.14214E+33   2.179704054E+00  -3.572516E-01   2.546815390E+00
    55   13213.016816   1.018985E-01   1.723431E+14    1.19981E+33   2.209584647E+00  -3.518700E-01   2.588438179E+00
    56   13313.280666   8.081389E-02   1.366251E+14    6.74164E+32   2.226807332E+00  -3.481180E-01   2.612485575E+00
    57   13385.820281   5.853541E-02   9.882316E+13    3.87665E+32   2.236432177E+00  -3.454314E-01   2.625926030E+00
    58   13444.360788   4.164295E-02   7.020485E+13    2.23943E+32   2.242045526E+00  -3.432840E-01   2.633771127E+00
    59   13492.561324   2.927898E-02   4.930978E+13    1.29865E+32   2.245328326E+00  -3.415315E-01   2.638359972E+00
    60   13532.777815   2.057076E-02   3.460813E+13    7.52237E+31   2.247264278E+00  -3.400810E-01   2.641066114E+00
    61   13566.266000   1.439210E-02   2.419233E+13    4.35909E+31   2.248399755E+00  -3.388818E-01   2.642653258E+00
    62   13594.235704   1.006465E-02   1.690362E+13    2.52467E+31   2.249065580E+00  -3.378862E-01   2.643583887E+00
    63   13617.566606   6.978999E-03   1.171585E+13    1.46396E+31   2.249454204E+00  -3.370602E-01   2.644127040E+00
    64   13637.188881   4.738583E-03   7.951554E+12    8.51689E+30   2.249680308E+00  -3.363685E-01   2.644442929E+00
    65   13654.083083   3.028470E-03   5.079177E+12    5.02688E+30   2.249810053E+00  -3.357753E-01   2.644624181E+00
    66   13669.751723   1.840300E-03   3.084963E+12    3.05270E+30   2.249883877E+00  -3.352271E-01   2.644727308E+00
    67   13685.470743   1.018521E-03   1.706019E+12    1.89181E+30   2.249927530E+00  -3.346789E-01   2.644788291E+00
    68   13703.143278   5.622035E-04   9.407238E+11    1.18896E+30   2.249954113E+00  -3.340648E-01   2.644825443E+00
    69   13723.358881   3.365887E-04   5.629877E+11    7.29839E+29   2.249971595E+00  -3.333651E-01   2.644849875E+00
    70   13744.183672   1.716986E-04   2.867789E+11    4.94744E+29   2.249980609E+00  -3.326476E-01   2.644862477E+00
    71   13772.007621   1.124680E-04   1.876938E+11    2.93763E+29   2.249988383E+00  -3.316938E-01   2.644873346E+00
    72   13797.405261   7.321088E-05   1.220928E+11    1.73989E+29   2.249993061E+00  -3.308282E-01   2.644879885E+00
    73   13820.659196   4.772108E-05   7.952681E+10    1.03332E+29   2.249995845E+00  -3.300397E-01   2.644883778E+00
    74   13841.969822   3.201484E-05   5.333363E+10    6.06758E+28   2.249997540E+00  -3.293205E-01   2.644886146E+00
    75   13860.716675   2.089467E-05   3.479414E+10    3.63255E+28   2.249998514E+00  -3.286905E-01   2.644887508E+00
    76   13877.990464   1.381855E-05   2.299519E+10    2.13576E+28   2.249999117E+00  -3.281122E-01   2.644888351E+00
