       6     155      55      71

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/nl3wr_test

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   3.808175E+00   3.092065E+16    2.56698E+37   0.000000000E+00  -2.705223E+00   0.000000000E+00
     1      10.000000   3.808098E+00   3.091953E+16    2.56688E+37   6.511630481E-08  -2.705204E+00   1.343114160E-08
     2      11.666636   3.808073E+00   3.091915E+16    2.56684E+37   1.034009601E-07  -2.705197E+00   2.132797843E-08
     3      13.611037   3.808037E+00   3.091863E+16    2.56680E+37   1.641940874E-07  -2.705189E+00   3.386769028E-08
     4      15.879488   3.807989E+00   3.091792E+16    2.56673E+37   2.607281071E-07  -2.705176E+00   5.377991530E-08
     5      18.525988   3.807924E+00   3.091695E+16    2.56664E+37   4.140136069E-07  -2.705160E+00   8.539898508E-08
     6      21.613526   3.807835E+00   3.091564E+16    2.56652E+37   6.574102871E-07  -2.705137E+00   1.356071547E-07
     7      25.215583   3.807714E+00   3.091386E+16    2.56636E+37   1.043882748E-06  -2.705107E+00   2.153321033E-07
     8      29.417868   3.807549E+00   3.091143E+16    2.56613E+37   1.657516571E-06  -2.705065E+00   3.419242320E-07
     9      34.320353   3.807325E+00   3.090813E+16    2.56583E+37   2.631792805E-06  -2.705008E+00   5.429302590E-07
    10      40.039629   3.807019E+00   3.090363E+16    2.56542E+37   4.178579915E-06  -2.704930E+00   8.620823852E-07
    11      46.711658   3.806604E+00   3.089752E+16    2.56485E+37   6.634113054E-06  -2.704825E+00   1.368802031E-06
    12      54.494963   3.806039E+00   3.088919E+16    2.56409E+37   1.053188036E-05  -2.704682E+00   2.173276653E-06
    13      63.574328   3.805270E+00   3.087787E+16    2.56304E+37   1.671808943E-05  -2.704487E+00   3.450369305E-06
    14      74.165083   3.804224E+00   3.086248E+16    2.56163E+37   2.653443253E-05  -2.704221E+00   5.477517346E-06
    15      86.518047   3.802801E+00   3.084154E+16    2.55970E+37   4.210703647E-05  -2.703860E+00   8.694765846E-06
    16     100.925214   3.800868E+00   3.081310E+16    2.55708E+37   6.680256166E-05  -2.703369E+00   1.379977871E-05
    17     117.726241   3.798239E+00   3.077445E+16    2.55353E+37   1.059465756E-04  -2.702702E+00   2.189802454E-05
    18     137.315815   3.794670E+00   3.072200E+16    2.54870E+37   1.679516602E-04  -2.701795E+00   3.473978656E-05
    19     160.151910   3.789825E+00   3.065088E+16    2.54216E+37   2.660817636E-04  -2.700562E+00   5.509335075E-05
    20     186.764894   3.783258E+00   3.055458E+16    2.53330E+37   4.211963087E-04  -2.698888E+00   8.733082049E-05
    21     217.767350   3.774365E+00   3.042442E+16    2.52134E+37   6.659856066E-04  -2.696619E+00   1.383438808E-04
    22     253.864283   3.762350E+00   3.024893E+16    2.50521E+37   1.051439467E-03  -2.693544E+00   2.189672536E-04
    23     295.863125   3.746155E+00   3.001312E+16    2.48357E+37   1.656583183E-03  -2.689386E+00   3.461742813E-04
    24     344.682565   3.724401E+00   2.969768E+16    2.45464E+37   2.602835105E-03  -2.683775E+00   5.464280140E-04
    25     401.358667   3.695317E+00   2.927828E+16    2.41622E+37   4.074576679E-03  -2.676227E+00   8.607230759E-04
    26     467.046090   3.656670E+00   2.872512E+16    2.36565E+37   6.347418892E-03  -2.666115E+00   1.352024259E-03
    27     543.011448   3.605728E+00   2.800325E+16    2.29982E+37   9.824696073E-03  -2.652638E+00   2.115950912E-03
    28     630.615409   3.539291E+00   2.707419E+16    2.21536E+37   1.508012166E-02  -2.634803E+00   3.295568101E-03
    29     731.280315   3.453822E+00   2.589971E+16    2.10904E+37   2.289937869E-02  -2.611412E+00   5.100842402E-03
    30     846.442086   3.345757E+00   2.444831E+16    1.97838E+37   3.430538170E-02  -2.581083E+00   7.832450525E-03
    31     977.489766   3.212036E+00   2.270449E+16    1.82252E+37   5.054296882E-02  -2.542315E+00   1.190799019E-02
    32    1125.704057   3.050820E+00   2.067944E+16    1.64315E+37   7.299506681E-02  -2.493605E+00   1.788637402E-02
    33    1292.216315   2.862289E+00   1.841956E+16    1.44525E+37   1.030142009E-01  -2.433629E+00   2.648419005E-02
    34    1478.017658   2.649270E+00   1.600828E+16    1.23700E+37   1.416881193E-01  -2.361456E+00   3.857791297E-02
    35    1684.047478   2.417375E+00   1.355723E+16    1.02880E+37   1.896073200E-01  -2.276734E+00   5.519000557E-02
    36    1911.377064   2.174458E+00   1.118742E+16    8.31380E+36   2.467329173E-01  -2.179817E+00   7.746531295E-02
    37    2161.480194   1.929736E+00   9.006679E+15    6.53668E+36   3.124401049E-01  -2.071753E+00   1.066540947E-01
    38    2436.552741   1.691138E+00   7.107492E+15    5.01254E+36   3.857972014E-01  -1.954146E+00   1.441173265E-01
    39    2739.310448   1.468064E+00   5.531419E+15    3.76036E+36   4.659312530E-01  -1.829122E+00   1.913269680E-01
    40    3072.892253   1.264850E+00   4.268558E+15    2.76908E+36   5.521676677E-01  -1.699140E+00   2.498680553E-01
    41    3440.923101   1.084367E+00   3.284801E+15    2.00773E+36   6.442089593E-01  -1.566708E+00   3.214741625E-01
    42    3847.033703   9.272379E-01   2.534617E+15    1.43677E+36   7.421416974E-01  -1.434291E+00   4.080115389E-01
    43    4294.079423   7.926018E-01   1.971137E+15    1.01640E+36   8.463207325E-01  -1.304256E+00   5.113530715E-01
    44    4783.007555   6.787606E-01   1.551866E+15    7.11199E+35   9.571520170E-01  -1.178864E+00   6.331028571E-01
    45    5311.444165   5.834953E-01   1.241308E+15    4.92006E+35   1.074736049E+00  -1.060256E+00   7.740728907E-01
    46    5872.187246   5.042826E-01   1.010990E+15    3.35988E+35   1.198405629E+00  -9.504253E-01   9.335291694E-01
    47    6452.146556   4.384269E-01   8.388134E+14    2.25898E+35   1.326186709E+00  -8.511480E-01   1.108253617E+00
    48    7032.324221   3.837526E-01   7.084810E+14    1.48998E+35   1.454394120E+00  -7.638659E-01   1.291822125E+00
    49    7589.059266   3.375787E-01   6.071236E+14    9.60268E+34   1.577584584E+00  -6.895882E-01   1.474513773E+00
    50    8097.888017   2.979377E-01   5.257914E+14    6.02336E+34   1.689381658E+00  -6.286717E-01   1.644650963E+00
    51    8537.941536   2.629638E-01   4.578545E+14    3.66927E+34   1.783899804E+00  -5.807504E-01   1.791117778E+00
    52    8897.007274   2.310300E-01   3.984327E+14    2.17141E+34   1.857724682E+00  -5.446611E-01   1.906873877E+00
    53    9174.167023   2.017067E-01   3.455119E+14    1.25104E+34   1.910992227E+00  -5.185718E-01   1.990972500E+00
    54    9377.484511   1.744370E-01   2.973749E+14    7.05910E+33   1.946598127E+00  -5.003985E-01   2.047376517E+00
    55    9520.971035   1.490851E-01   2.532884E+14    3.92426E+33   1.968957193E+00  -4.880695E-01   2.082837414E+00
    56    9619.689500   1.249613E-01   2.117664E+14    2.16645E+33   1.982301116E+00  -4.798320E-01   2.104001279E+00
    57    9687.307199   1.018273E-01   1.722217E+14    1.19755E+33   1.989983608E+00  -4.743092E-01   2.116180986E+00
    58    9734.443139   8.050432E-02   1.361034E+14    6.67717E+32   1.994315323E+00  -4.705194E-01   2.123044059E+00
    59    9768.293282   5.808200E-02   9.805393E+13    3.82716E+32   1.996696774E+00  -4.678297E-01   2.126811350E+00
    60    9795.561375   4.122665E-02   6.950097E+13    2.20489E+32   1.998075168E+00  -4.656834E-01   2.128991607E+00
    61    9817.950332   2.895226E-02   4.875793E+13    1.27631E+32   1.998875158E+00  -4.639352E-01   2.130256510E+00
    62    9836.578748   2.032378E-02   3.419146E+13    7.38367E+31   1.999344013E+00  -4.624905E-01   2.130997598E+00
    63    9852.054870   1.420984E-02   2.388524E+13    4.27508E+31   1.999617607E+00  -4.612971E-01   2.131429951E+00
    64    9864.956819   9.932865E-03   1.668175E+13    2.47436E+31   1.999777392E+00  -4.603071E-01   2.131682416E+00
    65    9875.701170   6.882859E-03   1.155435E+13    1.43443E+31   1.999870303E+00  -4.594861E-01   2.131829198E+00
    66    9884.730419   4.667730E-03   7.832494E+12    8.34777E+30   1.999924185E+00  -4.587985E-01   2.131914285E+00
    67    9892.508183   2.968852E-03   4.979094E+12    4.92779E+30   1.999955062E+00  -4.582079E-01   2.131963042E+00
    68    9899.751116   1.803662E-03   3.023487E+12    2.99185E+30   1.999972614E+00  -4.576594E-01   2.131990756E+00
    69    9907.011382   9.945259E-04   1.665768E+12    1.85848E+30   1.999982930E+00  -4.571109E-01   2.132007045E+00
    70    9915.217078   5.507901E-04   9.216167E+11    1.16712E+30   1.999989249E+00  -4.564928E-01   2.132017026E+00
    71    9924.556466   3.305137E-04   5.528135E+11    7.16088E+29   1.999993391E+00  -4.557914E-01   2.132023568E+00
    72    9934.140643   1.688565E-04   2.820182E+11    4.84980E+29   1.999995523E+00  -4.550740E-01   2.132026938E+00
    73    9946.901214   1.107370E-04   1.848125E+11    2.87774E+29   1.999997354E+00  -4.541226E-01   2.132029831E+00
    74    9958.509362   7.200052E-05   1.200670E+11    1.70529E+29   1.999998450E+00  -4.532607E-01   2.132031563E+00
    75    9969.142082   4.698971E-05   7.830734E+10    1.01228E+29   1.999999102E+00  -4.524744E-01   2.132032593E+00
    76    9978.856976   3.151834E-05   5.250547E+10    5.94351E+28   1.999999497E+00  -4.517585E-01   2.132033218E+00
