         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   6.112E+14   5.732E+34   3.445E-01      9.668E-01   8.049E-01   1.125E+00   2.063E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.587E+08   1.000E+00   1.000E+00   10000   5.607E-01   5.292E-01  3p2   N/A    N/A    N/A 
    1   2.380907E+03   1.733400E-02   5.938E+14   5.307E+34   3.357E-01      9.511E-01   7.861E-01   1.104E+00   2.048E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.816E+08   1.000E+00   1.000E+00   10000   5.728E-01   5.361E-01  3p2   N/A    N/A    N/A 
    2   2.999755E+03   3.410961E-02   5.837E+14   5.068E+34   3.304E-01      9.419E-01   7.749E-01   1.092E+00   2.039E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.950E+08   1.000E+00   1.000E+00   00000   5.801E-01   5.402E-01  3p2   N/A    N/A    N/A 
    3   3.433862E+03   5.054395E-02   5.753E+14   4.871E+34   3.261E-01      9.342E-01   7.655E-01   1.081E+00   2.032E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.062E+08   1.000E+00   1.000E+00   00000   5.863E-01   5.437E-01  3p2   N/A    N/A    N/A 
    4   3.779455E+03   6.714398E-02   5.676E+14   4.698E+34   3.221E-01      9.271E-01   7.569E-01   1.072E+00   2.025E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.163E+08   1.000E+00   1.000E+00   00000   5.920E-01   5.469E-01  3p2   N/A    N/A    N/A 
    5   4.071294E+03   8.347466E-02   5.606E+14   4.543E+34   3.185E-01      9.206E-01   7.489E-01   1.063E+00   2.019E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.256E+08   1.000E+00   1.000E+00   00000   5.974E-01   5.499E-01  3p2   N/A    N/A    N/A 
    6   4.326396E+03   9.933726E-02   5.542E+14   4.400E+34   3.151E-01      9.146E-01   7.415E-01   1.055E+00   2.013E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.341E+08   1.000E+00   1.000E+00   00000   6.024E-01   5.526E-01  3p2   N/A    N/A    N/A 
    7   4.554512E+03   1.146055E-01   5.481E+14   4.270E+34   3.119E-01      9.090E-01   7.345E-01   1.047E+00   2.007E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.420E+08   1.000E+00   1.000E+00   00000   6.072E-01   5.553E-01  3p2   N/A    N/A    N/A 
    8   4.761814E+03   1.310275E-01   5.421E+14   4.143E+34   3.088E-01      9.033E-01   7.275E-01   1.039E+00   2.002E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.498E+08   1.000E+00   1.000E+00   00000   6.120E-01   5.579E-01  3p2   N/A    N/A    N/A 
    9   4.952487E+03   1.461320E-01   5.365E+14   4.027E+34   3.059E-01      8.981E-01   7.210E-01   1.032E+00   1.996E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.570E+08   1.000E+00   1.000E+00   00000   6.165E-01   5.604E-01  3p2   N/A    N/A    N/A 
   10   5.129509E+03   1.601552E-01   5.314E+14   3.919E+34   3.031E-01      8.932E-01   7.150E-01   1.025E+00   1.991E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.637E+08   1.000E+00   1.000E+00   00000   6.207E-01   5.626E-01  3p2   N/A    N/A    N/A 
   11   5.295090E+03   1.764061E-01   5.259E+14   3.810E+34   3.003E-01      8.880E-01   7.085E-01   1.018E+00   1.986E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.706E+08   1.000E+00   1.000E+00   00000   6.253E-01   5.651E-01  3p2   N/A    N/A    N/A 
   12   5.450917E+03   1.918165E-01   5.208E+14   3.708E+34   2.975E-01      8.831E-01   7.023E-01   1.012E+00   1.981E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.772E+08   1.000E+00   1.000E+00   00000   6.296E-01   5.675E-01  3p2   N/A    N/A    N/A 
