#   Time in years,  Te_inf includes ephi
#   Temp and Lum are local values, i.e. no ephi
#
#
#        Time= 1.000E-10      Te_inf 6.450E+06
#
# zone       Rad [m]       Rho [gm/cc]        exp(phi)           dvol         Temp [K]      Lum [Lsun]           Q_mUrca        lambda_e       lambda_mu         Q_dUrca  
#                                                                        no exp(phi)    no exp(2phi) 
#
  363   1.2846322E+004  1.0000000E+010  8.5014877E-001  1.3817143E+016    4.9622447E+009  1.0183940E+003    0.0000000E+000  1.7163364E+018  0.0000000E+000  0.0000000E+000
  361   1.2840639E+004  1.0798819E+010  8.5007670E-001  1.3808834E+016    5.0338288E+009  5.0363617E+002    0.0000000E+000  1.7998452E+018  0.0000000E+000  0.0000000E+000
  359   1.2834938E+004  1.1661449E+010  8.5000433E-001  1.3957849E+016    5.0680135E+009  5.2976448E+002    0.0000000E+000  1.8820066E+018  0.0000000E+000  0.0000000E+000
  357   1.2829160E+004  1.2592987E+010  8.4993065E-001  1.4016572E+016    5.1029100E+009  5.5664154E+002    0.0000000E+000  1.9664229E+018  0.0000000E+000  0.0000000E+000
  355   1.2823382E+004  1.3598938E+010  8.4985698E-001  1.4005135E+016    5.1380625E+009  5.8445053E+002    0.0000000E+000  2.0518464E+018  0.0000000E+000  0.0000000E+000
  353   1.2817604E+004  1.4685247E+010  8.4978332E-001  1.3993703E+016    5.1734730E+009  6.1335027E+002    0.0000000E+000  2.1405588E+018  0.0000000E+000  0.0000000E+000
  351   1.2811826E+004  1.5858332E+010  8.4970966E-001  1.3982276E+016    5.2091435E+009  6.4312995E+002    0.0000000E+000  2.2314341E+018  0.0000000E+000  0.0000000E+000
  349   1.2806048E+004  1.7125125E+010  8.4963601E-001  1.4149082E+016    5.2450759E+009  6.7368841E+002    0.0000000E+000  2.3240620E+018  0.0000000E+000  0.0000000E+000
  347   1.2799911E+004  1.8493112E+010  8.4955745E-001  1.5339375E+016    5.2835353E+009  7.0648152E+002    0.0000000E+000  2.4197143E+018  0.0000000E+000  0.0000000E+000
  345   1.2793562E+004  1.9970376E+010  8.4947601E-001  1.5325594E+016    5.3236405E+009  7.3989442E+002    0.0000000E+000  2.5179293E+018  0.0000000E+000  0.0000000E+000
  343   1.2787212E+004  2.1565647E+010  8.4939457E-001  1.5311820E+016    5.3640700E+009  7.7439936E+002    0.0000000E+000  2.6173625E+018  0.0000000E+000  0.0000000E+000
  341   1.2780863E+004  2.3288352E+010  8.4931313E-001  1.5298052E+016    5.4048265E+009  8.1017011E+002    0.0000000E+000  2.7200993E+018  0.0000000E+000  0.0000000E+000
  339   1.2774514E+004  2.5148669E+010  8.4923171E-001  1.5284290E+016    5.4459130E+009  8.4686071E+002    0.0000000E+000  2.8251298E+018  0.0000000E+000  0.0000000E+000
