         5       377       111       281

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   5.233E+14   4.898E+34   2.607E-01      8.201E-01   5.617E-01   9.037E-01   1.840E+00   1.473E-01   2.097E-01   2.210E-01   0.000E+00      9.936E+08   1.000E+00   1.000E+00   01000   3.870E-01   3.870E-01  3p2   N/A    N/A    N/A 
    1   2.157743E+03   1.100178E-02   5.149E+14   4.641E+34   2.569E-01      8.146E-01   5.544E-01   8.963E-01   1.832E+00   1.466E-01   2.086E-01   2.199E-01   0.000E+00      9.958E+08   1.000E+00   1.000E+00   01000   3.914E-01   3.914E-01  3p2   N/A    N/A    N/A 
    2   2.718586E+03   2.215249E-02   5.099E+14   4.491E+34   2.546E-01      8.112E-01   5.500E-01   8.918E-01   1.828E+00   1.461E-01   2.080E-01   2.193E-01   0.000E+00      9.969E+08   1.000E+00   1.000E+00   01000   3.941E-01   3.941E-01  3p2   N/A    N/A    N/A 
    3   3.112005E+03   3.303803E-02   5.057E+14   4.369E+34   2.527E-01      8.083E-01   5.463E-01   8.880E-01   1.824E+00   1.458E-01   2.075E-01   2.187E-01   0.000E+00      9.977E+08   1.000E+00   1.000E+00   01000   3.964E-01   3.964E-01  3p2   N/A    N/A    N/A 
    4   3.425204E+03   4.335698E-02   5.020E+14   4.263E+34   2.510E-01      8.058E-01   5.430E-01   8.846E-01   1.821E+00   1.454E-01   2.070E-01   2.182E-01   0.000E+00      9.983E+08   1.000E+00   1.000E+00   01000   3.984E-01   3.984E-01  3p2   N/A    N/A    N/A 
    5   3.689689E+03   5.454101E-02   4.985E+14   4.162E+34   2.494E-01      8.033E-01   5.399E-01   8.813E-01   1.817E+00   1.451E-01   2.066E-01   2.177E-01   0.000E+00      9.988E+08   1.000E+00   1.000E+00   01000   4.003E-01   4.003E-01  3p2   N/A    N/A    N/A 
    6   3.920880E+03   6.431716E-02   4.954E+14   4.074E+34   2.480E-01      8.011E-01   5.371E-01   8.784E-01   1.814E+00   1.449E-01   2.062E-01   2.173E-01   0.000E+00      9.992E+08   1.000E+00   1.000E+00   01000   4.021E-01   4.021E-01  3p2   N/A    N/A    N/A 
    7   4.127615E+03   7.571422E-02   4.922E+14   3.986E+34   2.465E-01      7.987E-01   5.342E-01   8.753E-01   1.811E+00   1.446E-01   2.058E-01   2.169E-01   0.000E+00      9.995E+08   1.000E+00   1.000E+00   01000   4.039E-01   4.039E-01  3p2   N/A    N/A    N/A 
    8   4.315487E+03   8.609168E-02   4.892E+14   3.906E+34   2.452E-01      7.965E-01   5.315E-01   8.725E-01   1.809E+00   1.443E-01   2.054E-01   2.165E-01   0.000E+00      9.997E+08   1.000E+00   1.000E+00   01000   4.055E-01   4.055E-01  3p2   N/A    N/A    N/A 
    9   4.488287E+03   9.563662E-02   4.865E+14   3.832E+34   2.439E-01      7.945E-01   5.291E-01   8.699E-01   1.806E+00   1.441E-01   2.051E-01   2.161E-01   0.000E+00      9.998E+08   1.000E+00   1.000E+00   01000   4.071E-01   4.071E-01  3p2   N/A    N/A    N/A 
   10   4.648717E+03   1.066619E-01   4.837E+14   3.757E+34   2.426E-01      7.924E-01   5.265E-01   8.672E-01   1.804E+00   1.438E-01   2.047E-01   2.158E-01   0.000E+00      9.999E+08   1.000E+00   1.000E+00   01000   4.087E-01   4.087E-01  3p2   N/A    N/A    N/A 
   11   4.798779E+03   1.173446E-01   4.810E+14   3.686E+34   2.414E-01      7.904E-01   5.241E-01   8.646E-01   1.801E+00   1.436E-01   2.043E-01   2.154E-01   0.000E+00      1.000E+09   1.000E+00   1.000E+00   01000   4.103E-01   4.103E-01  3p2   N/A    N/A    N/A 
   12   4.939999E+03   1.273980E-01   4.784E+14   3.619E+34   2.402E-01      7.885E-01   5.218E-01   8.621E-01   1.799E+00   1.433E-01   2.040E-01   2.150E-01   0.000E+00      1.000E+09   1.000E+00   1.000E+00   01000   4.118E-01   4.118E-01  3p2   N/A    N/A    N/A 
   13   5.073577E+03   1.369073E-01   4.760E+14   3.556E+34   2.391E-01      7.866E-01   5.196E-01   8.597E-01   1.796E+00   1.431E-01   2.037E-01   2.147E-01   0.000E+00      9.999E+08   1.000E+00   1.000E+00   01000   4.132E-01   4.132E-01  3p2   N/A    N/A    N/A 
   14   5.200469E+03   1.465452E-01   4.737E+14   3.494E+34   2.380E-01      7.848E-01   5.174E-01   8.574E-01   1.794E+00   1.429E-01   2.034E-01   2.144E-01   0.000E+00      9.999E+08   1.000E+00   1.000E+00   01000   4.146E-01   4.146E-01  3p2   N/A    N/A    N/A 
   15   5.321453E+03   1.574533E-01   4.711E+14   3.431E+34   2.369E-01      7.828E-01   5.151E-01   8.549E-01   1.792E+00   1.427E-01   2.031E-01   2.140E-01   0.000E+00      9.997E+08   1.000E+00   1.000E+00   01000   4.161E-01   4.161E-01  3p2   N/A    N/A    N/A 
   16   5.437173E+03   1.678869E-01   4.687E+14   3.371E+34   2.357E-01      7.809E-01   5.129E-01   8.524E-01   1.789E+00   1.424E-01   2.027E-01   2.137E-01   0.000E+00      9.995E+08   1.000E+00   1.000E+00   01000   4.176E-01   4.176E-01  3p2   N/A    N/A    N/A 
