         5       653       401       557

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   1.127E+15   2.101E+35   6.066E-01      1.089E+00   9.472E-01   1.289E+00   2.510E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.328E+08   1.000E+00   1.000E+00   00000   5.377E-01   3.554E-01  3p2   N/A    N/A    N/A 
    1   1.444434E+03   7.209154E-03   1.113E+15   2.028E+35   6.004E-01      1.083E+00   9.406E-01   1.281E+00   2.503E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.388E+08   1.000E+00   1.000E+00   00000   5.399E-01   3.569E-01  3p2   N/A    N/A    N/A 
    2   1.819873E+03   1.426027E-02   1.105E+15   1.986E+35   5.967E-01      1.080E+00   9.368E-01   1.277E+00   2.498E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.424E+08   1.000E+00   1.000E+00   00000   5.413E-01   3.578E-01  3p2   N/A    N/A    N/A 
    3   2.083234E+03   2.138541E-02   1.098E+15   1.951E+35   5.936E-01      1.077E+00   9.335E-01   1.273E+00   2.494E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.456E+08   1.000E+00   1.000E+00   00000   5.425E-01   3.586E-01  3p2   N/A    N/A    N/A 
    4   2.292896E+03   2.851420E-02   1.092E+15   1.920E+35   5.909E-01      1.074E+00   9.305E-01   1.269E+00   2.491E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.485E+08   1.000E+00   1.000E+00   00000   5.435E-01   3.593E-01  3p2   N/A    N/A    N/A 
    5   2.469948E+03   3.520956E-02   1.087E+15   1.893E+35   5.884E-01      1.072E+00   9.278E-01   1.266E+00   2.487E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.511E+08   1.000E+00   1.000E+00   00000   5.444E-01   3.599E-01  3p2   N/A    N/A    N/A 
    6   2.624711E+03   4.243219E-02   1.081E+15   1.866E+35   5.859E-01      1.070E+00   9.252E-01   1.263E+00   2.484E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.537E+08   1.000E+00   1.000E+00   00000   5.454E-01   3.605E-01  3p2   N/A    N/A    N/A 
    7   2.763103E+03   4.937566E-02   1.076E+15   1.842E+35   5.837E-01      1.068E+00   9.228E-01   1.261E+00   2.481E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.561E+08   1.000E+00   1.000E+00   00000   5.462E-01   3.611E-01  3p2   N/A    N/A    N/A 
    8   2.888868E+03   5.568562E-02   1.072E+15   1.820E+35   5.816E-01      1.066E+00   9.205E-01   1.258E+00   2.479E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.584E+08   1.000E+00   1.000E+00   00000   5.470E-01   3.616E-01  3p2   N/A    N/A    N/A 
    9   3.004544E+03   6.299026E-02   1.067E+15   1.797E+35   5.795E-01      1.064E+00   9.182E-01   1.255E+00   2.476E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.608E+08   1.000E+00   1.000E+00   00000   5.478E-01   3.622E-01  3p2   N/A    N/A    N/A 
   10   3.111939E+03   7.007763E-02   1.063E+15   1.776E+35   5.774E-01      1.062E+00   9.160E-01   1.253E+00   2.473E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.631E+08   1.000E+00   1.000E+00   00000   5.486E-01   3.627E-01  3p2   N/A    N/A    N/A 
   11   3.212392E+03   7.670690E-02   1.058E+15   1.756E+35   5.755E-01      1.060E+00   9.139E-01   1.250E+00   2.471E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.652E+08   1.000E+00   1.000E+00   00000   5.494E-01   3.633E-01  3p2   N/A    N/A    N/A 
   12   3.306929E+03   8.294567E-02   1.055E+15   1.737E+35   5.737E-01      1.058E+00   9.119E-01   1.248E+00   2.469E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.673E+08   1.000E+00   1.000E+00   00000   5.501E-01   3.637E-01  3p2   N/A    N/A    N/A 
   13   3.396348E+03   8.959151E-02   1.051E+15   1.718E+35   5.719E-01      1.057E+00   9.099E-01   1.246E+00   2.466E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.695E+08   1.000E+00   1.000E+00   00000   5.508E-01   3.642E-01  3p2   N/A    N/A    N/A 
