#   Time in years,  Te_inf includes ephi
#   Temp and Lum are local values, i.e. no ephi
#
#
#        Time= 1.000E-10      Te_inf 6.264E+06
#
# zone       Rad [m]       Rho [gm/cc]        exp(phi)           dvol         Temp [K]      Lum [Lsun]           Q_mUrca        lambda_e       lambda_mu         Q_dUrca  
#                                                                        no exp(phi)    no exp(2phi) 
#
  363   1.3075500E+004  1.0000000E+010  8.7920986E-001  1.8953445E+016    4.9607500E+009  8.2038919E+002    0.0000000E+000  1.7161925E+018  0.0000000E+000  0.0000000E+000
  361   1.3067724E+004  1.0798819E+010  8.7913305E-001  1.8937753E+016    5.0344693E+009  4.0140570E+002    0.0000000E+000  1.7999138E+018  0.0000000E+000  0.0000000E+000
  359   1.3059947E+004  1.1661449E+010  8.7905624E-001  1.8916839E+016    5.0691968E+009  4.2217983E+002    0.0000000E+000  1.8821514E+018  0.0000000E+000  0.0000000E+000
  357   1.3052172E+004  1.2592987E+010  8.7897944E-001  1.8824446E+016    5.1041743E+009  4.4353033E+002    0.0000000E+000  1.9665979E+018  0.0000000E+000  0.0000000E+000
  355   1.3044450E+004  1.3598938E+010  8.7890262E-001  1.8743370E+016    5.1391803E+009  4.6560603E+002    0.0000000E+000  2.0520202E+018  0.0000000E+000  0.0000000E+000
  353   1.3036727E+004  1.4685247E+010  8.7882581E-001  1.8722782E+016    5.1744471E+009  4.8854236E+002    0.0000000E+000  2.1407274E+018  0.0000000E+000  0.0000000E+000
  351   1.3029005E+004  1.5858332E+010  8.7874900E-001  1.8702207E+016    5.2099767E+009  5.1217103E+002    0.0000000E+000  2.2315937E+018  0.0000000E+000  0.0000000E+000
  349   1.3021282E+004  1.7125125E+010  8.7867220E-001  1.8681643E+016    5.2457713E+009  5.3658198E+002    0.0000000E+000  2.3242085E+018  0.0000000E+000  0.0000000E+000
  347   1.3013560E+004  1.8493112E+010  8.7859540E-001  1.8661091E+016    5.2818331E+009  5.6146111E+002    0.0000000E+000  2.4193223E+018  0.0000000E+000  0.0000000E+000
  345   1.3005463E+004  1.9970376E+010  8.7851463E-001  2.0712804E+016    5.3199315E+009  5.8831591E+002    0.0000000E+000  2.5170004E+018  0.0000000E+000  0.0000000E+000
  343   1.2996770E+004  2.1565647E+010  8.7842750E-001  2.0955478E+016    5.3611712E+009  6.1578597E+002    0.0000000E+000  2.6165766E+018  0.0000000E+000  0.0000000E+000
  341   1.2988078E+004  2.3288352E+010  8.7834038E-001  2.0929484E+016    5.4027582E+009  6.4427229E+002    0.0000000E+000  2.7194947E+018  0.0000000E+000  0.0000000E+000
  339   1.2979385E+004  2.5148669E+010  8.7825327E-001  2.0903507E+016    5.4446955E+009  6.7365816E+002    0.0000000E+000  2.8247474E+018  0.0000000E+000  0.0000000E+000
  337   1.2970692E+004  2.7157591E+010  8.7816617E-001  2.0877547E+016    5.4869864E+009  7.0401442E+002    0.0000000E+000  2.9323417E+018  0.0000000E+000  0.0000000E+000
  335   1.2961999E+004  2.9326990E+010  8.7807908E-001  2.2135963E+016    5.5296341E+009  7.3573724E+002    0.0000000E+000  3.0422910E+018  0.0000000E+000  0.0000000E+000
  333   1.2952051E+004  3.1669685E+010  8.7797862E-001  2.4270353E+016    5.5788891E+009  7.6979336E+002    0.0000000E+000  3.1570088E+018  0.0000000E+000  0.0000000E+000
  331   1.2941918E+004  3.4199519E+010  8.7787621E-001  2.4235155E+016    5.6295459E+009  8.0483975E+002    0.0000000E+000  3.2748512E+018  0.0000000E+000  0.0000000E+000
  329   1.2931786E+004  3.6931440E+010  8.7777382E-001  2.4199982E+016    5.6807023E+009  8.4113550E+002    0.0000000E+000  3.3955435E+018  0.0000000E+000  0.0000000E+000
  327   1.2921653E+004  3.9881593E+010  8.7767143E-001  2.4164836E+016    5.7323637E+009  8.7830031E+002    0.0000000E+000  3.5191275E+018  0.0000000E+000  0.0000000E+000
  325   1.2911521E+004  4.3067409E+010  8.7756906E-001  2.4220617E+016    5.7845355E+009  9.1673840E+002    0.0000000E+000  3.6428239E+018  0.0000000E+000  0.0000000E+000
  323   1.2901141E+004  4.6507714E+010  8.7746357E-001  2.5088401E+016    5.8385199E+009  9.5766209E+002    0.0000000E+000  3.7728775E+018  0.0000000E+000  0.0000000E+000
  321   1.2890590E+004  5.0222838E+010  8.7735592E-001  2.5050380E+016    5.8939572E+009  9.9989709E+002    0.0000000E+000  3.9065633E+018  0.0000000E+000  0.0000000E+000
  319   1.2880040E+004  5.4234732E+010  8.7724829E-001  2.5012388E+016    5.9499663E+009  1.0436203E+003    0.0000000E+000  4.0435434E+018  0.0000000E+000  0.0000000E+000
  317   1.2869489E+004  5.8567103E+010  8.7714067E-001  2.4974426E+016    6.0065537E+009  1.0889119E+003    0.0000000E+000  4.1839069E+018  0.0000000E+000  0.0000000E+000
  315   1.2858938E+004  6.3245553E+010  8.7703307E-001  2.4936493E+016    6.0637256E+009  1.1357676E+003    0.0000000E+000  4.3277454E+018  0.0000000E+000  0.0000000E+000
  313   1.2848328E+004  6.8297726E+010  8.7692482E-001  2.6816136E+016    6.1218178E+009  1.1859865E+003    0.0000000E+000  4.4753687E+018  0.0000000E+000  0.0000000E+000
  311   1.2836270E+004  7.3753476E+010  8.7680051E-001  2.8405264E+016    6.1885773E+009  1.2393871E+003    0.0000000E+000  4.6319562E+018  0.0000000E+000  0.0000000E+000
  309   1.2824212E+004  7.9645042E+010  8.7667622E-001  2.8355845E+016    6.2561278E+009  1.2945875E+003    0.0000000E+000  4.7929132E+018  0.0000000E+000  0.0000000E+000
  307   1.2812154E+004  8.6007237E+010  8.7655194E-001  2.8306471E+016    6.3244794E+009  1.3520228E+003    0.0000000E+000  4.9560618E+018  0.0000000E+000  0.0000000E+000
  305   1.2800097E+004  9.2877656E+010  8.7642769E-001  2.8257141E+016    6.3936423E+009  1.8031042E+003    0.0000000E+000  5.1261356E+018  0.0000000E+000  0.0000000E+000
  303   1.2788039E+004  1.0029690E+011  8.7630345E-001  2.8312629E+016    6.4636270E+009  2.2598909E+003    0.0000000E+000  8.0838233E+018  0.0000000E+000  0.0000000E+000
  301   1.2775815E+004  1.0830880E+011  8.7617647E-001  2.8725936E+016    6.5354352E+009  2.2767490E+003    0.0000000E+000  8.4390370E+018  0.0000000E+000  0.0000000E+000
  299   1.2763514E+004  1.1696071E+011  8.7604823E-001  2.8674733E+016    6.6085729E+009  2.3033924E+003    0.0000000E+000  8.0675958E+018  0.0000000E+000  0.0000000E+000
  297   1.2751213E+004  1.2630375E+011  8.7592001E-001  2.8623577E+016    6.6825999E+009  2.4331706E+003    0.0000000E+000  8.4372037E+018  0.0000000E+000  0.0000000E+000
  295   1.2738912E+004  1.3639313E+011  8.7579181E-001  2.8572469E+016    6.7575278E+009  2.5693025E+003    0.0000000E+000  8.8234045E+018  0.0000000E+000  0.0000000E+000
