         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   4.808E+14   4.391E+34   2.749E-01      8.296E-01   6.337E-01   9.380E-01   1.941E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.233E+08   1.000E+00   1.000E+00   00000   8.559E-01   8.559E-01  3p2   N/A    N/A    N/A 
    1   2.449840E+03   1.484815E-02   4.722E+14   4.114E+34   2.705E-01      8.226E-01   6.245E-01   9.284E-01   1.932E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.330E+08   1.000E+00   1.000E+00   00000   8.581E-01   8.581E-01  3p2   N/A    N/A    N/A 
    2   3.086605E+03   2.971681E-02   4.670E+14   3.954E+34   2.678E-01      8.183E-01   6.188E-01   9.225E-01   1.926E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.386E+08   1.000E+00   1.000E+00   00000   8.595E-01   8.595E-01  3p2   N/A    N/A    N/A 
    3   3.533280E+03   4.425700E-02   4.628E+14   3.822E+34   2.656E-01      8.148E-01   6.142E-01   9.176E-01   1.921E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.430E+08   1.000E+00   1.000E+00   00000   8.606E-01   8.606E-01  3p2   N/A    N/A    N/A 
    4   3.888878E+03   5.797180E-02   4.591E+14   3.709E+34   2.636E-01      8.118E-01   6.101E-01   9.134E-01   1.917E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.468E+08   1.000E+00   1.000E+00   00000   8.616E-01   8.616E-01  3p2   N/A    N/A    N/A 
    5   4.189167E+03   7.308974E-02   4.554E+14   3.601E+34   2.617E-01      8.086E-01   6.059E-01   9.090E-01   1.913E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.505E+08   1.000E+00   1.000E+00   00000   8.626E-01   8.626E-01  3p2   N/A    N/A    N/A 
    6   4.451655E+03   8.636885E-02   4.521E+14   3.506E+34   2.599E-01      8.058E-01   6.021E-01   9.051E-01   1.909E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.538E+08   1.000E+00   1.000E+00   00000   8.635E-01   8.635E-01  3p2   N/A    N/A    N/A 
    7   4.686375E+03   1.012496E-01   4.488E+14   3.413E+34   2.582E-01      8.030E-01   5.983E-01   9.012E-01   1.905E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.569E+08   1.000E+00   1.000E+00   00000   8.644E-01   8.644E-01  3p2   N/A    N/A    N/A 
    8   4.899680E+03   1.152253E-01   4.458E+14   3.327E+34   2.566E-01      8.003E-01   5.948E-01   8.976E-01   1.901E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.598E+08   1.000E+00   1.000E+00   00000   8.652E-01   8.652E-01  3p2   N/A    N/A    N/A 
    9   5.095872E+03   1.280798E-01   4.430E+14   3.248E+34   2.551E-01      7.979E-01   5.916E-01   8.942E-01   1.898E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.623E+08   1.000E+00   1.000E+00   00000   8.660E-01   8.660E-01  3p2   N/A    N/A    N/A 
   10   5.278020E+03   1.424651E-01   4.400E+14   3.169E+34   2.535E-01      7.954E-01   5.881E-01   8.907E-01   1.895E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.649E+08   1.000E+00   1.000E+00   00000   8.667E-01   8.667E-01  3p2   N/A    N/A    N/A 
   11   5.448395E+03   1.566996E-01   4.372E+14   3.094E+34   2.520E-01      7.928E-01   5.847E-01   8.872E-01   1.891E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.674E+08   1.000E+00   1.000E+00   00000   8.675E-01   8.675E-01  3p2   N/A    N/A    N/A 
   12   5.608733E+03   1.700954E-01   4.345E+14   3.023E+34   2.505E-01      7.904E-01   5.814E-01   8.838E-01   1.888E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.697E+08   1.000E+00   1.000E+00   00000   8.683E-01   8.683E-01  3p2   N/A    N/A    N/A 
   13   5.760394E+03   1.827662E-01   4.319E+14   2.955E+34   2.492E-01      7.882E-01   5.783E-01   8.807E-01   1.885E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.717E+08   1.000E+00   1.000E+00   00000   8.690E-01   8.690E-01  3p2   N/A    N/A    N/A 
   14   5.904463E+03   1.956895E-01   4.294E+14   2.890E+34   2.478E-01      7.859E-01   5.752E-01   8.775E-01   1.882E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.738E+08   1.000E+00   1.000E+00   00000   8.697E-01   8.697E-01  3p2   N/A    N/A    N/A 
