# list of all "regular" pulsars from the ATNF catalogue
# https://www.atnf.csiro.au/research/pulsar/psrcat
#
# We define a regular pulsar as one with a spin period > 30 ms
#
# P0 = spin period in sec
# P1 = \dot{P}/P [dimensionless]
# d  = distance estimate in kpc
#
# citation: Manchester, R. N., Hobbs, G.B., Teoh, A. & Hobbs, M.,
#           AJ, 129, 1993-2006 (2005)

id    name          P0       dP0     P1       dP1        d     age
1     J0002+6216    0.115364 1.4e-12 5.97e-15 7.0e-20    6.357 3.06e+05
2     J0006+1834    0.693748 1.4e-10 2.10e-15 1.2e-17    0.860 5.24e+06
3     J0007+7303    0.315873 3.0e-10 3.60e-13 5.0e-17    1.400 1.39e+04
4     J0011+08      2.552870       0      NaN       0    5.399    NaN
5     B0011+47      1.240699 1.1e-11 5.64e-16 1.4e-19    1.776 3.48e+07

6     J0021-0909    2.314131 1.7e-10 1.04e-15 1.7e-17   25.000 3.53e+07
7     J0026-1955    1.306150 5.0e-06      NaN       0   25.000    NaN
8     J0026+6320    0.318358 3.0e-11 1.51e-16 6.0e-19    6.619 3.35e+07
9     J0033+57      0.315000       0      NaN       0    2.251    NaN
10    J0033+61      0.912000       0      NaN       0    1.654    NaN

11    B0031-07      0.942951 1.7e-12 4.08e-16 7.0e-21    1.030 3.66e+07
12    J0034+69      0.036804 1.6e-07      NaN       0    2.283    NaN
13    J0036-1033    0.900009 3.0e-09 2.13e-16 3.0e-19   25.000 6.69e+07
14    J0038-2501    0.256926 1.7e-12 7.60e-19 6.0e-21    0.604 5.36e+09
15    J0039+35      0.536700       0      NaN       0   25.000    NaN

16    B0037+56      1.118225 1.3e-12 2.88e-15 1.2e-20    2.420 6.15e+06
17    J0043-73      0.937429 2.6e-07      NaN       0   58.938    NaN
18    J0045-7042    0.632336 6.0e-11 2.49e-15 3.0e-17   59.700 4.02e+06
19    J0045-7319    0.926276 3.0e-11 4.46e-15 9.0e-19   59.700 3.29e+06
20    B0045+33      1.217094 8.0e-12 2.35e-15 6.0e-20    4.500 8.19e+06

21    J0050+03      1.366560       0      NaN       0   25.000    NaN
22    J0051+0423    0.354732 1.0e-11 7.00e-18 2.0e-18    1.250 8.03e+08
23    J0052-72      0.191444 4.6e-08      NaN       0   60.261    NaN
24    J0054+66      1.390000       0      NaN       0    0.901    NaN
25    J0054+6946    0.832911 5.0e-12 7.19e-16 7.0e-19    2.758 1.83e+07

26    B0052+51      2.115171 4.0e-12 9.54e-15 4.0e-20    2.857 3.51e+06
27    B0053+47      0.472037 7.0e-12 3.33e-15 7.0e-20    1.123 2.25e+06
28    J0057-7201    0.738062 2.0e-10 1.00e-16 8.0e-17    3.476 1.17e+08
29    J0058+4950    0.996023 4.0e-11 8.04e-16 2.0e-17    2.646 1.96e+07
30    J0058+6125    0.637000       0      NaN       0    2.597    NaN

31    J0059+69      1.145900       0      NaN       0    2.048    NaN
32    J0100-7211    8.020392 9.0e-06 1.88e-11 8.0e-13   59.700 6.76e+03
33    J0100+8023    1.493601 2.0e-10 3.54e-16 6.0e-19    2.848 6.68e+07
34    B0059+65      1.679164 1.2e-11 5.95e-15 9.0e-20    2.500 4.47e+06
